"Table 7.3 Finished Admission Episodes with a primary diagnosis of obesity, by Government Office Region (GOR) of residence, Strategic Health Authority (SHA) of residence, Primary Care Trust (PCT) of residence and gender, 2012/13",,,,,,,,,,,
,,,,,,,,,,,
England,,,,,,,,,Numbers,,
"Region, SHA & PCT Code",ONS Alpha numeric code,"Region, SHA & PCT Name",Admissions,,,,"Admissions per 100,000 of population",,,,
,,,Total,Male,Female,,Total,Male,Female,,
,,,,,,,,,,,
,,England,"10,957","2,950","8,007",,21,11,30,,
,,,,,,,,,,,
A,E12000001,North East,"1,885",483,"1,402",,73,38,106,,
Q30,E18000001,North East,"1,885",483,"1,402",,73,38,106,,
5ND,E16000085,County Durham PCT,526,139,387,,103,55,148,,
5J9,E16000041,Darlington PCT,88,29,59,,83,56,109,,
5KF,E16000050,Gateshead PCT,130,35,95,,65,36,93,,
5D9,E16000019,Hartlepool PCT,83,26,57,,90,58,120,,
5KM,E16000053,Middlesbrough PCT,108,28,80,,78,41,113,,
5D7,E16000017,Newcastle PCT,90,23,67,,32,16,48,,
5D8,E16000018,North Tyneside PCT,73,15,58,,36,15,56,,
TAC,E17000001,Northumberland Care Trust,101,20,81,,32,13,50,,
5QR,E16000146,Redcar & Cleveland PCT,103,25,78,,76,38,112,,
5KG,E16000051,South Tyneside PCT,124,44,80,,84,61,104,,
5.00E+01,E16000020,Stockton-On-Tees Teaching PCT,196,43,153,,102,46,157,,
5KL,E16000052,Sunderland Teaching PCT,263,56,207,,96,42,146,,
,,,,,,,,,,,
B,E12000002,North West,853,271,582,,12,8,16,,
Q31,E18000002,North West ,853,271,582,,12,8,16,,
5HG,E16000032,"Ashton, Leigh & Wigan PCT",31,11,20,,10,7,12,,
TAP,E17000006,Blackburn with Darwen Teaching Care Trust Plus,11,*,*,,7,*,*,,
5HP,E16000033,Blackpool PCT,37,11,26,,26,16,36,,
5HQ,E16000148,Bolton PCT,24,*,*,,9,*,*,,
5JX,E16000043,Bury PCT,26,8,18,,14,9,19,,
5NP,E16000095,Central & Eastern Cheshire PCT,29,9,20,,6,4,8,,
5NG,E16000088,Central Lancashire PCT,46,19,27,,10,8,11,,
5NE,E16000086,Cumbria PCT,73,16,57,,15,7,22,,
5NH,E16000089,East Lancashire PCT,10,*,*,,3,*,*,,
5NM,E16000093,Halton & St. Helens PCT,50,14,36,,17,9,23,,
5NQ,E16000096,"Heywood, Middleton & Rochdale PCT",28,7,21,,13,7,19,,
5J4,E16000038,Knowsley PCT,28,17,11,,19,25,14,,
5NL,E16000092,Liverpool PCT,80,22,58,,17,10,25,,
5NT,E16000149,Manchester PCT,71,26,45,,14,10,18,,
5NF,E16000087,North Lancashire PCT,33,*,*,,10,*,*,,
5J5,E16000039,Oldham PCT,20,*,*,,9,*,*,,
5F5,E16000025,Salford PCT,29,15,14,,12,13,12,,
5NJ,E16000090,Sefton PCT,46,7,39,,17,5,27,,
5F7,E16000026,Stockport PCT,21,8,13,,7,6,9,,
5LH,E16000062,Tameside & Glossop PCT,39,16,23,,15,13,18,,
5NR,E16000097,Trafford PCT,16,*,*,,7,*,*,,
5J2,E16000037,Warrington PCT,17,*,*,,8,*,*,,
5NN,E16000094,Western Cheshire PCT,38,12,26,,16,10,21,,
5NK,E16000091,Wirral PCT,52,21,31,,16,14,19,,
,,,,,,,,,,,
D,E12000003,Yorkshire and the Humber ,"1,113",306,807,,21,12,30,,
Q32,E18000003,Yorkshire and the Humber ,"1,113",306,807,,21,12,30,,
5JE,E16000042,Barnsley PCT,71,21,50,,31,18,42,,
5NY,E16000102,Bradford & Airedale PCT,137,35,102,,26,14,38,,
5J6,E16000040,Calderdale PCT,44,10,34,,22,10,33,,
5N5,E16000078,Doncaster PCT,84,30,54,,28,20,35,,
5NW,E16000100,East Riding of Yorkshire PCT,23,10,13,,7,6,8,,
5NX,E16000101,Hull PCT,7,*,*,,3,*,*,,
5N2,E16000075,Kirklees PCT,60,14,46,,14,7,21,,
5N1,E16000074,Leeds PCT,157,42,115,,21,11,30,,
TAN,E17000005,North East Lincolnshire PCT,55,17,38,,34,22,46,,
5EF,E16000021,North Lincolnshire PCT,49,14,35,,30,17,42,,
5NV,E16000099,North Yorkshire & York PCT,197,55,142,,25,14,35,,
5H8,E16000031,Rotherham PCT,29,*,*,,11,*,*,,
5N4,E16000077,Sheffield PCT,89,27,62,,16,10,22,,
5N3,E16000076,Wakefield District PCT,111,23,88,,34,14,53,,
,,,,,,,,,,,
E,E12000004,East Midlands,"1,156",223,933,,25,10,41,,
Q33,E18000004,East Midlands,"1,156",223,933,,25,10,41,,
5ET,E16000023,Bassetlaw PCT,33,11,22,,29,20,39,,
5N7,E16000080,Derby City PCT,138,23,115,,55,19,91,,
5N6,E16000079,Derbyshire County PCT,246,31,215,,33,9,57,,
5PC,E16000113,Leicester City PCT,33,12,21,,10,7,13,,
5PA,E16000112,Leicestershire County & Rutland PCT,66,9,57,,10,3,16,,
5N9,E16000082,Lincolnshire PCT,198,37,161,,28,11,44,,
5PD,E16000114,Northampton PCT,105,29,76,,15,8,22,,
5EM,E16000022,Nottingham City PCT,97,18,79,,32,12,52,,
5N8,E16000081,Nottinghamshire County PCT,238,53,185,,35,16,54,,
,,,,,,,,,,,
F,E12000005,West Midlands,719,210,509,,13,8,18,,
Q34,E18000005,West Midlands ,719,210,509,,13,8,18,,
5PG,E16000117,Birmingham East & North PCT,56,20,36,,13,10,17,,
5MD,E16000070,Coventry Teaching PCT,57,12,45,,18,8,28,,
5PE,E16000115,Dudley PCT,51,21,30,,16,14,19,,
5MX,E16000073,Heart of Birmingham Teaching PCT,40,19,21,,14,13,14,,
5CN,E16000015,Herefordshire PCT,23,6,17,,13,7,18,,
5PH,E16000118,North Staffordshire PCT,38,9,29,,18,9,27,,
5PF,E16000116,Sandwell PCT,55,18,37,,18,12,24,,
5M2,E16000065,Shropshire County PCT,20,8,12,,7,5,8,,
5QW,E17000004,Solihull PCT ,15,*,*,,7,*,*,,
5M1,E16000064,South Birmingham PCT,34,9,25,,10,5,14,,
5PK,E16000120,South Staffordshire PCT,50,*,*,,8,*,*,,
5PJ,E16000119,Stoke on Trent PCT,64,22,42,,25,17,33,,
5MK,E16000071,Telford & Wrekin PCT,16,*,*,,10,*,*,,
5M3,E16000066,Walsall Teaching PCT,27,*,*,,10,*,*,,
5PM,E16000122,Warwickshire PCT,77,23,54,,14,9,19,,
5MV,E16000072,Wolverhampton City PCT,55,11,44,,22,9,35,,
5PL,E16000121,Worcestershire PCT,41,13,28,,7,5,10,,
,,,,,,,,,,,
G,E12000006,East of England,596,206,390,,10,7,13,,
Q35,E18000006,East of England ,596,206,390,,10,7,13,,
5P2,E16000104,Bedfordshire PCT,28,8,20,,7,4,10,,
5PP,E16000124,Cambridgeshire PCT,44,14,30,,7,5,10,,
5PR,E16000126,Great Yarmouth & Waveney PCT,28,18,10,,13,17,9,,
5QV,E16000150,Hertfordshire PCT,120,40,80,,11,7,14,,
5GC,E16000029,Luton PCT,28,8,20,,14,8,20,,
5PX,E16000130,Mid Essex PCT,16,6,10,,4,3,5,,
5PQ,E16000125,Norfolk PCT,99,36,63,,13,10,16,,
5PW,E16000129,North East Essex PCT,31,13,18,,10,9,11,,
5PN,E16000123,Peterborough PCT,31,7,24,,17,8,26,,
5P1,E16000103,South East Essex PCT,43,13,30,,12,8,17,,
5PY,E16000131,South West Essex PCT,52,17,35,,13,9,17,,
5PT,E16000127,Suffolk PCT,52,16,36,,8,5,12,,
5PV,E16000128,West Essex PCT,24,10,14,,8,7,9,,
,,,,,,,,,,,
H,E12000007,London,"2,760",714,"2,046",,34,18,49,,
Q36,E18000007,London ,"2,760",714,"2,046",,34,18,49,,
5C2,E16000009,Barking & Dagenham PCT,40,8,32,,21,9,33,,
5A9,E16000006,Barnet PCT,128,38,90,,36,22,49,,
TAK,E17000002,Bexley Care Trust,127,33,94,,55,29,78,,
5K5,E16000045,Brent Teaching PCT,96,23,73,,31,15,47,,
5A7,E16000004,Bromley PCT,129,45,84,,42,30,52,,
5K7,E16000047,Camden PCT,69,11,58,,31,10,52,,
5C3,E16000010,City & Hackney Teaching PCT,94,19,75,,37,15,59,,
5K9,E16000049,Croydon PCT,161,39,122,,44,22,65,,
5HX,E16000035,Ealing PCT,93,30,63,,27,18,37,,
5C1,E16000008,Enfield PCT,56,15,41,,18,10,25,,
5A8,E16000005,Greenwich Teaching PCT,107,31,76,,42,24,59,,
5H1,E16000030,Hammersmith & Fulham PCT,56,11,45,,31,12,48,,
5C9,E16000013,Haringey Teaching PCT,59,11,48,,23,9,37,,
5K6,E16000046,Harrow PCT,64,21,43,,27,18,35,,
5A4,E16000002,Havering PCT,37,17,20,,16,15,16,,
5AT,E16000007,Hillingdon PCT,81,28,53,,29,20,38,,
5HY,E16000036,Hounslow PCT,74,26,48,,29,20,38,,
5K8,E16000048,Islington PCT,92,20,72,,45,20,69,,
5LA,E16000056,Kensington & Chelsea PCT,37,8,29,,23,10,36,,
5A5,E16000003,Kingston PCT,58,16,42,,36,20,51,,
5LD,E16000058,Lambeth PCT,190,28,162,,62,18,106,,
5LF,E16000060,Lewisham PCT,184,36,148,,66,27,105,,
5C5,E16000012,Newham PCT,81,25,56,,26,15,38,,
5NA,E16000083,Redbridge PCT,57,15,42,,20,11,30,,
5M6,E16000067,Richmond & Twickenham PCT,20,7,13,,11,8,14,,
5LE,E16000059,Southwark PCT,191,35,156,,66,24,107,,
5M7,E16000068,Sutton & Merton PCT,128,47,81,,33,24,41,,
5C4,E16000011,Tower Hamlets PCT,60,14,46,,23,11,37,,
5NC,E16000084,Waltham Forest PCT,36,13,23,,14,10,18,,
5LG,E16000061,Wandsworth PCT,103,24,79,,33,16,50,,
5LC,E16000057,Westminster PCT,52,20,32,,24,18,30,,
,,,,,,,,,,,
J,E12000008,South East,"1,199",351,848,,14,8,19,,
Q37,E18000008,South East Coast ,807,214,593,,18,10,26,,
5LQ,E16000063,Brighton & Hove City PCT,52,9,43,,19,7,31,,
5P7,E16000109,East Sussex Downs & Weald PCT,83,19,64,,24,11,36,,
5QA,E16000132,Eastern & Coastal Kent PCT,118,27,91,,16,7,23,,
5P8,E16000110,Hastings & Rother PCT,37,9,28,,20,10,29,,
5L3,E16000055,Medway PCT,115,27,88,,43,21,66,,
5P5,E16000107,Surrey PCT,138,49,89,,12,9,16,,
5P9,E16000111,West Kent PCT,137,46,91,,19,13,25,,
5P6,E16000108,West Sussex PCT,127,28,99,,16,7,24,,
,,,,,,,,,,,
Q38,E18000009,South Central ,392,137,255,,9,7,12,,
5QG,E16000137,Berkshire East PCT,35,*,*,,9,*,*,,
5QF,E16000136,Berkshire West PCT,59,20,39,,13,9,17,,
5QD,E16000134,Buckinghamshire PCT,28,8,20,,5,3,8,,
5QC,E16000133,Hampshire PCT,103,46,57,,8,7,8,,
5QT,E16000147,Isle of Wight PCT,24,8,16,,17,12,23,,
5CQ,E16000016,Milton Keynes PCT,45,17,28,,18,13,22,,
5QE,E16000135,Oxfordshire PCT,32,9,23,,5,3,7,,
5FE,E16000027,Portsmouth City Teaching PCT,20,*,*,,10,*,*,,
5L1,E16000054,Southampton City PCT,46,21,25,,20,18,21,,
,,,,,,,,,,,
K,E12000009,South West,675,185,490,,13,7,18,,
Q39,E18000010,South West ,675,185,490,,13,7,18,,
5FL,E16000028,Bath & North East Somerset PCT,17,*,*,,10,*,*,,
5QN,E16000143,Bournemouth & Poole PCT,26,12,14,,8,7,8,,
5QJ,E16000139,Bristol PCT,42,14,28,,10,7,13,,
5QP,E16000144,Cornwall & Isles Of Scilly PCT,116,34,82,,22,13,30,,
5QQ,E16000145,Devon PCT,83,21,62,,11,6,16,,
5QM,E16000142,Dorset PCT,25,7,18,,6,3,8,,
5QH,E16000138,Gloucestershire PCT,39,9,30,,7,3,10,,
5M8,E16000069,North Somerset PCT,15,7,8,,7,7,8,,
5F1,E16000024,Plymouth Teaching PCT,63,24,39,,25,19,30,,
5QL,E16000141,Somerset PCT,68,16,52,,13,6,19,,
5A3,E16000001,South Gloucestershire PCT,19,*,*,,7,*,*,,
5K3,E16000044,Swindon PCT,25,*,*,,12,*,*,,
TAL,E17000003,Torbay Care Trust,12,*,*,,9,*,*,,
5QK,E16000140,Wiltshire PCT,125,22,103,,26,9,43,,
,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,
2.  The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,
3. ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,
"6.  Office for National Statistics (ONS) estimated resident population mid-2011 figures have been used to calculate admissions per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,
7.  Totals include admissions where the gender was unknown or not specified.,,,,,,,,,,,
8.  * in this table means a figure between 1 and 5.,,,,,,,,,,,
"9. The data presented in this report are for inpatients only, so does not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. In particular, practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Inconsistencies in the use of this code may have contributed to the decrease seen this year and the increases seen from 2009/10. This is apparent for one hospital site in particular, Royal Derby Hospital, which has an impact (mainly) on the figures for East Midlands Strategic Health Authority and the residing Primary Care Trusts, also the national figures. See Appendix A for further detail on HES.  ",,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.4 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by gender, 2002/03 to 2012/13",,,,,,,,,,,
,,,,,,,,,,,
England,,,Numbers,,,,,,,,
,Total,Male,Female,,,,,,,,
,,,,,,,,,,,
2002/03,"29,237","12,068","17,168",,,,,,,,
2003/04,"33,546","13,804","19,736",,,,,,,,
2004/05,"40,741","16,590","24,145",,,,,,,,
2005/06,"52,019","21,432","30,552",,,,,,,,
2006/07,"67,211","27,791","39,411",,,,,,,,
2007/08,"80,914","32,080","48,829",,,,,,,,
2008/09,"102,987","39,524","63,457",,,,,,,,
2009/10,"142,219","52,517","89,657",,,,,,,,
2010/11,"211,783","75,190","136,566",,,,,,,,
2011/12,"266,666","92,828","173,803",,,,,,,,
2012/13,"292,404","99,579","192,795",,,,,,,,
,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,
"2.  The primary diagnosis is the first of up to 20 (14 from 2002/03 to 2006/07 and 7 prior to 2002/03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital. As well as the primary diagnosis, there are up to 19 (13 from 2002/03 to 2006/07 and 6 prior to 2002/03) secondary diagnosis fields in Hospital Episode Statistics (HES) that show other diagnoses relevant to the episode of care. These figures represent the number of episodes where the diagnosis was recorded in any of the 20 primary and secondary diagnosis fields in the record. Each episode is only counted once in each count, even if the diagnosis is recorded in more than one diagnosis field of the record.",,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,
"5. Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,
6. Total includes admissions where the gender was unknown or not specified.,,,,,,,,,,,
7. The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series. This may be particularly relevant for admissions with a primary or secondary diagnosis where some of the increases may be attributable to changes in recording practice. Further years’ data may be required to aid interpretation of these statistics.,,,,,,,,,,,
"8. The data presented in this report are for inpatients only, so does not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. In particular, practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Inconsistencies in the use of this code may have contributed to the decrease seen this year and the increases seen from 2009/10. This is apparent for one hospital site in particular, Royal Derby Hospital, which has an impact (mainly) on the figures for East Midlands Strategic Health Authority and the residing Primary Care Trusts, but also the national figures . See Appendix A for further detail on HES.  ",,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.5 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by age group, 2002/03 to 2012/13",,,,,,,,,,,
,,,,,,,,,,,
England,,,,,,,,,Numbers,,
,Total,Under 16,16 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 to74,75 and over,,
,,,,,,,,,,,
2002/03,"29,237","1,117",912,"2,288","4,371","5,661","6,721","5,391","2,738",,
2003/04,"33,546","1,355","1,026","2,449","4,845","6,452","7,790","6,432","3,175",,
2004/05,"40,741","1,506","1,457","3,449","5,953","7,424","9,086","7,813","4,036",,
2005/06,"52,019","1,727","1,717","4,252","7,401","9,858","12,146","10,056","4,840",,
2006/07,"67,211","1,896","2,316","5,319","9,961","12,922","15,882","12,571","6,296",,
2007/08,"80,914","2,104","3,169","7,218","12,101","15,683","18,489","14,496","7,512",,
2008/09,"102,987","2,229","4,326","9,899","15,508","19,971","23,136","18,234","9,531",,
2009/10,"142,219","2,400","6,609","15,490","21,344","27,641","30,884","24,294","13,399",,
2010/11,"211,783","2,762","12,042","26,965","30,606","39,258","43,754","36,056","20,056",,
2011/12,"266,666","2,824","16,016","37,060","37,098","47,514","53,209","45,949","26,989",,
2012/13,"292,404","3,115","18,849","43,681","39,627","51,364","55,676","50,262","29,822",,
,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,
"2.  The primary diagnosis is the first of up to 20 (14 from 2002/03 to 2006/07 and 7 prior to 2002/03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital. As well as the primary diagnosis, there are up to 19 (13 from 2002/03 to 2006/07 and 6 prior to 2002/03) secondary diagnosis fields in Hospital Episode Statistics (HES) that show other diagnoses relevant to the episode of care. These figures represent the number of episodes where the diagnosis was recorded in any of the 20 primary and secondary diagnosis fields in the record. Each episode is only counted once in each count, even if the diagnosis is recorded in more than one diagnosis field of the record.",,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,
6.  Total includes admissions where the age was unknown or not specified.,,,,,,,,,,,
7.The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series. This may be particularly relevant for admissions with a primary or secondary diagnosis where some of the increases may be attributable to changes in recording practice. Further years’ data may be required to aid interpretation of these statistics.,,,,,,,,,,,
"8. The data presented in this report are for inpatients only, so does not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. In particular, practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Inconsistencies in the use of this code may have contributed to the decrease seen this year and the increases seen from 2009/10. This is apparent for one hospital site in particular, Royal Derby Hospital, which has an impact (mainly) on the figures for East Midlands Strategic Health Authority and the residing Primary Care Trusts, but also the national figures. See Appendix A for further detail on HES.  ",,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.6 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by Government Office Region (GOR) of residence, Strategic Health Authority (SHA) of residence, Primary Care Trust (PCT) of residence and gender, 2012/13",,,,,,,,,,,
,,,,,,,,,,,
England,,,,,,,,,Numbers,,
"Region, SHA & PCT Code",ONS Alpha numeric code,"Region, SHA & PCT Name",Admissions,,,,"Admissions per 100,000 of population",,,,
,,,Total,Male,Female,,Total7,Male,Female,,
