,,,,,,,,,,,,,
England,,,,,,,,,Numbers,,,,
,,,Admissions,,,,"Admissions per 100,000 of population",,,,,,
,,,Total,Male,Female,,Total,Male,Female,,,,
,,,,,,,,,,,,,
England,,,"11,736","2,993","8,740",,22,11,32,,,,
,,,,,,,,,,,,,
Q30,E18000001,North East,"1,452",340,"1,112",,56,27,84,,,,
5ND,E16000085,County Durham PCT,353,98,255,,69,39,97,,,,
5J9,E16000041,Darlington PCT,43,13,30,,41,25,55,,,,
5KF,E16000050,Gateshead PCT,89,26,63,,44,27,62,,,,
5D9,E16000019,Hartlepool PCT,48,8,40,,52,18,85,,,,
5KM,E16000053,Middlesbrough PCT,61,15,46,,44,22,65,,,,
5D7,E16000017,Newcastle PCT,92,20,72,,33,14,52,,,,
5D8,E16000018,North Tyneside PCT,100,21,79,,50,22,76,,,,
TAC,E17000001,Northumberland Care Trust,113,34,79,,36,22,49,,,,
5QR,E16000146,Redcar & Cleveland PCT,55,13,42,,41,20,60,,,,
5KG,E16000051,South Tyneside PCT,108,22,86,,73,31,112,,,,
[5E1],E16000020,Stockton-On-Tees Teaching PCT,146,33,113,,76,35,116,,,,
5KL,E16000052,Sunderland Teaching PCT,244,37,207,,89,28,146,,,,
,,,,,,,,,,,,,
Q31,E18000002,North West ,903,295,608,,13,9,17,,,,
5HG,E16000032,"Ashton, Leigh & Wigan PCT",11,*,*,,3,*,*,,,,
TAP,E17000006,Blackburn with Darwen Teaching Care Trust Plus,*,*,*,,*,*,*,,,,
5HP,E16000033,Blackpool PCT,16,*,*,,11,*,*,,,,
5HQ,E16000148,Bolton PCT,32,9,23,,12,7,16,,,,
5JX,E16000043,Bury PCT,41,13,28,,22,14,30,,,,
5NP,E16000095,Central & Eastern Cheshire PCT,18,7,11,,4,3,5,,,,
5NG,E16000088,Central Lancashire PCT,28,12,16,,6,5,7,,,,
5NE,E16000086,Cumbria PCT,35,12,23,,7,5,9,,,,
5NH,E16000089,East Lancashire PCT,40,17,23,,10,9,12,,,,
5NM,E16000093,Halton & St. Helens PCT,66,20,46,,22,14,30,,,,
5NQ,E16000096,"Heywood, Middleton & Rochdale PCT",25,14,11,,12,13,10,,,,
5J4,E16000038,Knowsley PCT,54,10,44,,37,14,57,,,,
5NL,E16000092,Liverpool PCT,102,27,75,,22,12,32,,,,
5NT,E16000149,Manchester PCT,87,31,56,,17,12,22,,,,
5NF,E16000087,North Lancashire PCT,*,*,*,,*,*,*,,,,
5J5,E16000039,Oldham PCT,17,6,11,,8,5,10,,,,
5F5,E16000025,Salford PCT,42,12,30,,18,10,26,,,,
5NJ,E16000090,Sefton PCT,64,20,44,,23,15,31,,,,
5F7,E16000026,Stockport PCT,11,*,*,,4,*,*,,,,
5LH,E16000062,Tameside & Glossop PCT,59,14,45,,23,11,35,,,,
5NR,E16000097,Trafford PCT,34,11,23,,15,10,20,,,,
5J2,E16000037,Warrington PCT,13,7,6,,6,7,6,,,,
5NN,E16000094,Western Cheshire PCT,38,15,23,,16,13,19,,,,
5NK,E16000091,Wirral PCT,70,21,49,,22,14,30,,,,
,,,,,,,,,,,,,
Q32,E18000003,Yorkshire and the Humber ,"1,093",291,802,,21,11,30,,,,
5JE,E16000042,Barnsley PCT,88,29,59,,38,25,50,,,,
5NY,E16000102,Bradford & Airedale PCT,123,38,85,,24,15,32,,,,
5J6,E16000040,Calderdale PCT,24,*,*,,12,*,*,,,,
5N5,E16000078,Doncaster PCT,86,24,62,,28,16,40,,,,
5NW,E16000100,East Riding of Yorkshire PCT,26,9,17,,8,6,10,,,,
5NX,E16000101,Hull PCT,6,*,*,,2,*,*,,,,
5N2,E16000075,Kirklees PCT,42,12,30,,10,6,14,,,,
5N1,E16000074,Leeds PCT,138,30,108,,18,8,28,,,,
TAN,E17000005,North East Lincolnshire PCT,31,9,22,,19,11,27,,,,
5EF,E16000021,North Lincolnshire PCT,56,11,45,,34,14,54,,,,
5NV,E16000099,North Yorkshire & York PCT,194,54,140,,24,14,34,,,,
5H8,E16000031,Rotherham PCT,74,13,61,,29,10,46,,,,
5N4,E16000077,Sheffield PCT,72,22,50,,13,8,18,,,,
5N3,E16000076,Wakefield District PCT,133,32,101,,41,20,61,,,,
,,,,,,,,,,,,,
Q33,E18000004,East Midlands,"1,769",352,"1,417",,39,16,62,,,,
5ET,E16000023,Bassetlaw PCT,49,12,37,,43,21,65,,,,
5N7,E16000080,Derby City PCT,215,51,164,,86,41,130,,,,
5N6,E16000079,Derbyshire County PCT,361,47,314,,49,13,84,,,,
5PC,E16000113,Leicester City PCT,33,6,27,,10,4,16,,,,
5PA,E16000112,Leicestershire County & Rutland PCT,122,28,94,,18,8,27,,,,
5N9,E16000082,Lincolnshire PCT,342,71,271,,48,20,74,,,,
5PD,E16000114,Northampton PCT,107,34,73,,15,10,21,,,,
5EM,E16000022,Nottingham City PCT,153,28,125,,50,18,83,,,,
5N8,E16000081,Nottinghamshire County PCT,374,74,300,,56,22,88,,,,
,,,,,,,,,,,,,
Q34,E18000005,West Midlands ,964,282,682,,17,10,24,,,,
5PG,E16000117,Birmingham East & North PCT,61,18,43,,14,9,20,,,,
5MD,E16000070,Coventry Teaching PCT,53,*,*,,17,*,*,,,,
5PE,E16000115,Dudley PCT,84,34,50,,27,22,31,,,,
5MX,E16000073,Heart of Birmingham Teaching PCT,45,19,26,,15,13,18,,,,
5CN,E16000015,Herefordshire PCT,27,9,18,,15,10,19,,,,
5PH,E16000118,North Staffordshire PCT,36,12,24,,17,11,22,,,,
5PF,E16000116,Sandwell PCT,119,35,84,,39,23,54,,,,
5M2,E16000065,Shropshire County PCT,15,*,*,,5,*,*,,,,
5QW,E17000004,Solihull PCT ,11,*,*,,5,*,*,,,,
5M1,E16000064,South Birmingham PCT,56,15,41,,16,9,23,,,,
5PK,E16000120,South Staffordshire PCT,66,18,48,,11,6,15,,,,
5PJ,E16000119,Stoke on Trent PCT,98,24,74,,38,19,57,,,,
5MK,E16000071,Telford & Wrekin PCT,21,*,*,,13,*,*,,,,
5M3,E16000066,Walsall Teaching PCT,63,19,44,,23,14,32,,,,
5PM,E16000122,Warwickshire PCT,35,13,22,,6,5,8,,,,
5MV,E16000072,Wolverhampton City PCT,105,30,75,,42,24,59,,,,
5PL,E16000121,Worcestershire PCT,69,23,46,,12,8,16,,,,
,,,,,,,,,,,,,
Q35,E18000006,East of England ,677,234,443,,12,8,15,,,,
5P2,E16000104,Bedfordshire PCT,30,12,18,,7,6,9,,,,
5PP,E16000124,Cambridgeshire PCT,64,23,41,,10,7,13,,,,
5PR,E16000126,Great Yarmouth & Waveney PCT,21,*,*,,10,*,*,,,,
5QV,E16000150,Hertfordshire PCT,130,47,83,,12,9,15,,,,
5GC,E16000029,Luton PCT,26,11,15,,13,11,15,,,,
5PX,E16000130,Mid Essex PCT,23,13,10,,6,7,5,,,,
5PQ,E16000125,Norfolk PCT,100,37,63,,13,10,16,,,,
5PW,E16000129,North East Essex PCT,73,19,54,,23,13,34,,,,
5PN,E16000123,Peterborough PCT,27,9,18,,15,10,19,,,,
5P1,E16000103,South East Essex PCT,47,15,32,,14,9,18,,,,
5PY,E16000131,South West Essex PCT,40,14,26,,10,7,12,,,,
5PT,E16000127,Suffolk PCT,70,19,51,,11,6,16,,,,
5PV,E16000128,West Essex PCT,26,*,*,,9,*,*,,,,
,,,,,,,,,,,,,
Q36,E18000007,London ,"2,688",614,"2,074",,33,15,50,,,,
5C2,E16000009,Barking & Dagenham PCT,51,9,42,,27,10,44,,,,
5A9,E16000006,Barnet PCT,121,28,93,,34,16,51,,,,
TAK,E17000002,Bexley Care Trust,83,18,65,,36,16,54,,,,
5K5,E16000045,Brent Teaching PCT,112,27,85,,36,17,55,,,,
5A7,E16000004,Bromley PCT,109,33,76,,35,22,47,,,,
5K7,E16000047,Camden PCT,93,19,74,,42,18,66,,,,
5C3,E16000010,City & Hackney Teaching PCT,75,12,63,,29,9,49,,,,
5K9,E16000049,Croydon PCT,121,27,94,,33,15,50,,,,
5HX,E16000035,Ealing PCT,129,40,89,,38,24,53,,,,
5C1,E16000008,Enfield PCT,40,16,24,,13,11,15,,,,
5A8,E16000005,Greenwich Teaching PCT,96,23,73,,38,18,57,,,,
5H1,E16000030,Hammersmith & Fulham PCT,84,27,57,,46,30,61,,,,
5C9,E16000013,Haringey Teaching PCT,33,10,23,,13,8,18,,,,
5K6,E16000046,Harrow PCT,67,15,52,,28,13,43,,,,
5A4,E16000002,Havering PCT,28,13,15,,12,11,12,,,,
5AT,E16000007,Hillingdon PCT,56,16,40,,20,12,29,,,,
5HY,E16000036,Hounslow PCT,108,22,86,,42,17,68,,,,
5K8,E16000048,Islington PCT,91,14,77,,44,14,74,,,,
5LA,E16000056,Kensington & Chelsea PCT,53,13,40,,33,17,50,,,,
5A5,E16000003,Kingston PCT,48,11,37,,30,14,45,,,,
5LD,E16000058,Lambeth PCT,180,23,157,,59,15,103,,,,
5LF,E16000060,Lewisham PCT,171,25,146,,62,18,103,,,,
5C5,E16000012,Newham PCT,85,22,63,,27,14,42,,,,
5NA,E16000083,Redbridge PCT,26,10,16,,9,7,11,,,,
5M6,E16000067,Richmond & Twickenham PCT,35,12,23,,19,13,24,,,,
5LE,E16000059,Southwark PCT,195,21,174,,68,15,119,,,,
5M7,E16000068,Sutton & Merton PCT,135,33,102,,34,17,51,,,,
5C4,E16000011,Tower Hamlets PCT,60,19,41,,23,14,33,,,,
5NC,E16000084,Waltham Forest PCT,31,8,23,,12,6,18,,,,
5LG,E16000061,Wandsworth PCT,87,16,71,,28,11,45,,,,
5LC,E16000057,Westminster PCT,85,32,53,,39,29,49,,,,
,,,,,,,,,,,,,
Q37,E18000008,South East Coast ,854,230,623,,19,11,27,,,,
5LQ,E16000063,Brighton & Hove City PCT,68,20,48,,25,15,35,,,,
5P7,E16000109,East Sussex Downs & Weald PCT,73,21,52,,21,13,29,,,,
5QA,E16000132,Eastern & Coastal Kent PCT,166,42,124,,22,11,32,,,,
5P8,E16000110,Hastings & Rother PCT,37,9,28,,20,10,29,,,,
5L3,E16000055,Medway PCT,72,15,57,,27,11,43,,,,
5P5,E16000107,Surrey PCT,153,49,104,,14,9,18,,,,
5P9,E16000111,West Kent PCT,139,42,97,,20,12,27,,,,
5P6,E16000108,West Sussex PCT,145,32,113,,18,8,27,,,,
,,,,,,,,,,,,,
Q38,E18000009,South Central ,552,174,378,,13,8,18,,,,
5QG,E16000137,Berkshire East PCT,34,*,*,,8,*,*,,,,
5QF,E16000136,Berkshire West PCT,54,18,36,,12,8,15,,,,
5QD,E16000134,Buckinghamshire PCT,55,17,38,,11,7,14,,,,
5QC,E16000133,Hampshire PCT,219,77,142,,17,12,21,,,,
5QT,E16000147,Isle of Wight PCT,19,*,*,,14,*,*,,,,
5CQ,E16000016,Milton Keynes PCT,51,13,38,,20,10,29,,,,
5QE,E16000135,Oxfordshire PCT,35,7,28,,6,2,9,,,,
5FE,E16000027,Portsmouth City Teaching PCT,40,16,24,,19,15,24,,,,
5L1,E16000054,Southampton City PCT,43,16,27,,18,13,23,,,,
,,,,,,,,,,,,,
Q39,E18000010,South West ,784,181,601,,15,7,22,,,,
5FL,E16000028,Bath & North East Somerset PCT,25,6,19,,14,7,21,,,,
5QN,E16000143,Bournemouth & Poole PCT,42,14,28,,13,9,17,,,,
5QJ,E16000139,Bristol PCT,67,12,55,,16,6,26,,,,
5QP,E16000144,Cornwall & Isles Of Scilly PCT,84,14,70,,16,5,25,,,,
5QQ,E16000145,Devon PCT,96,20,76,,13,6,20,,,,
5QM,E16000142,Dorset PCT,36,15,21,,9,7,10,,,,
5QH,E16000138,Gloucestershire PCT,41,8,33,,7,3,11,,,,
5M8,E16000069,North Somerset PCT,22,*,*,,11,*,*,,,,
5F1,E16000024,Plymouth Teaching PCT,74,23,51,,29,18,39,,,,
5QL,E16000141,Somerset PCT,93,21,72,,17,8,26,,,,
5A3,E16000001,South Gloucestershire PCT,31,12,19,,12,9,14,,,,
5K3,E16000044,Swindon PCT,38,8,30,,18,7,28,,,,
TAL,E17000003,Torbay Care Trust,12,*,*,,9,*,*,,,,
5QK,E16000140,Wiltshire PCT,123,15,108,,26,6,45,,,,
,,,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,,,
2.  The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,,,
3. ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
"6.  Office for National Statistics (ONS) estimated resident population mid-2011 figures have been used to calculate admissions per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,,,
7.  Totals include admissions where the gender was unknown.,,,,,,,,,,,,,
8.  * in this table means a figure between 1 and 5.,,,,,,,,,,,,,
"9. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.4 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by gender, 2000/01 to 2011/12",,,,,Back to contents,,,,,,,,
,,,,,,,,,,,,,
England,,,Numbers,,,,,,,,,,
,Total,Male,Female,,,,,,,,,,
,,,,,,,,,,,,,
2000/01,"22,878","8,938","13,924",,,,,,,,,,
2001/02,"23,777","9,448","14,320",,,,,,,,,,
2002/03,"29,237","12,068","17,168",,,,,,,,,,
2003/04,"33,546","13,804","19,736",,,,,,,,,,
2004/05,"40,741","16,590","24,145",,,,,,,,,,
2005/06,"52,019","21,432","30,552",,,,,,,,,,
2006/07,"67,211","27,791","39,411",,,,,,,,,,
2007/08,"80,914","32,080","48,829",,,,,,,,,,
2008/09,"102,987","39,524","63,457",,,,,,,,,,
2009/10,"142,219","52,517","89,657",,,,,,,,,,
2010/11,"211,783","75,190","136,566",,,,,,,,,,
2011/12,"266,666","92,828","173,803",,,,,,,,,,
,,,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,,,
"2.  The primary diagnosis is the first of up to 20 (14 from 2002/03 to 2006/07 and 7 prior to 2002/03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital. As well as the primary diagnosis, there are up to 19 (13 from 2002/03 to 2006/07 and 6 prior to 2002/03) secondary diagnosis fields in Hospital Episode Statistics (HES) that show other diagnoses relevant to the episode of care. These figures represent the number of episodes where the diagnosis was recorded in any of the 20 primary and secondary diagnosis fields in the record. Each episode is only counted once in each count, even if the diagnosis is recorded in more than one diagnosis field of the record.",,,,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"5. Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
6. Total includes admissions where the gender was unknown.,,,,,,,,,,,,,
7. The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series. This may be particularly relevant for admissions with a primary or secondary diagnosis where some of the increases may be attributable to changes in recording practice. Further years’ data may be required to aid interpretation of these statistics.,,,,,,,,,,,,,
"8. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.5 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by age group, 2000/01 to 2011/12",,,,,,,,,,,Back to contents,,
,,,,,,,,,,,,,
England,,,,,,,,,Numbers,,,,
,Total,Under 16,16 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 to74,75 and over,,,,
,,,,,,,,,,,,,
2000/01,"22,878",781,654,"2,142","3,522","4,656","4,877","4,009","2,190",,,,
2001/02,"23,777",856,715,"2,129","3,512","4,878","5,217","4,226","2,222",,,,
2002/03,"29,237","1,117",912,"2,288","4,371","5,661","6,721","5,391","2,738",,,,
2003/04,"33,546","1,355","1,026","2,449","4,845","6,452","7,790","6,432","3,175",,,,
2004/05,"40,741","1,506","1,457","3,449","5,953","7,424","9,086","7,813","4,036",,,,
2005/06,"52,019","1,727","1,717","4,252","7,401","9,858","12,146","10,056","4,840",,,,
2006/07,"67,211","1,896","2,316","5,319","9,961","12,922","15,882","12,571","6,296",,,,
2007/08,"80,914","2,104","3,169","7,218","12,101","15,683","18,489","14,496","7,512",,,,
2008/09,"102,987","2,229","4,326","9,899","15,508","19,971","23,136","18,234","9,531",,,,
2009/10,"142,219","2,400","6,609","15,490","21,344","27,641","30,884","24,294","13,399",,,,
2010/11,"211,783","2,762","12,042","26,965","30,606","39,258","43,754","36,056","20,056",,,,
2011/12,"266,666","2,824","16,016","37,060","37,098","47,514","53,209","45,949","26,989",,,,
,,,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,,,
"2.  The primary diagnosis is the first of up to 20 (14 from 2002/03 to 2006/07 and 7 prior to 2002/03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital. As well as the primary diagnosis, there are up to 19 (13 from 2002/03 to 2006/07 and 6 prior to 2002/03) secondary diagnosis fields in Hospital Episode Statistics (HES) that show other diagnoses relevant to the episode of care. These figures represent the number of episodes where the diagnosis was recorded in any of the 20 primary and secondary diagnosis fields in the record. Each episode is only counted once in each count, even if the diagnosis is recorded in more than one diagnosis field of the record.",,,,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
6.  Total includes admissions where the age was unknown.,,,,,,,,,,,,,
7.The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series. This may be particularly relevant for admissions with a primary or secondary diagnosis where some of the increases may be attributable to changes in recording practice. Further years’ data may be required to aid interpretation of these statistics.,,,,,,,,,,,,,
"8. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.6 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by Strategic Health Authority (SHA) of residence, Primary Care Trust (PCT) of residence and gender, 2011/12",,,,,,,,,,,Back to contents,,
,,,,,,,,,,,,,
England,,,,,,,,,Numbers,,,,
,,,Admissions,,,,"Admissions per 100,000 of population",,,,,,
,,,Total,Male,Female,,Total7,Male,Female,,,,
,,,,,,,,,,,,,
England,,,"266,666","92,828","173,803",,502,355,644,,,,
,,,,,,,,,,,,,
Q30,E18000001,North East,"15,345","5,777","9,568",,591,455,721,,,,
5ND,E16000085,County Durham PCT,"1,971",788,"1,183",,384,314,452,,,,
