"Local.authority" "Usual.residents.2011" "Sex.ratio.2011" "Median.age.2011" "Percentage.change.in.usual.residents.2011" "Percentage.of.population.aged.0.4.2011" "Percentage.of.population.aged.0.14.2011" "Percentage.of.population.aged.15.64.2011" "Percentage.of.population.aged.65.and.over.2011" "Percentage.of.population.aged.90.and.over.2011" "Percentage.change.in.households.2011" "Average.household.size..persons..2011" "Population.density..km2..2011" "county" "Homes" "Agencies" "Hospitals"
"Warrington UA" "202,228" 98.4 40 5.8 6.1 17.9 66.2 15.9 0.6 9.2 2.3 "1,119" "Warrington" 56 28 8
"Blackburn with Darwen UA" "147,489" 99.5 35 6.5 7.6 21.7 65.3 12.9 0.5 8.2 2.5 "1,076" "Blackburn with Darwen" 42 26 5
"Blackpool UA" "142,065" 96.5 42 -0.2 5.8 16.7 64.1 19.2 0.9 0.6 2.1 "4,076" "Blackpool" 88 20 3
"Cheshire East UA" "370,127" 96.1 43 5.1 5.5 16.6 64.1 19.3 0.9 8.5 2.3 "317" "Cheshire East" 116 72 11
"Allerdale" "96,422" 96.6 45 3.1 5.1 15.7 63.6 20.8 0.9 5.9 2.2 "78" "Cumbria" 34.3333333333333 14.3333333333333 4
"Barrow-in-Furness" "69,087" 97.9 42 -4 5.4 16.5 64.8 18.8 0.9 0.7 2.2 "886" "Cumbria" 34.3333333333333 14.3333333333333 4
"Carlisle" "107,524" 95.3 42 6.7 5.6 16.1 65.4 18.5 0.8 9.9 2.2 "103" "Cumbria" 34.3333333333333 14.3333333333333 4
"Copeland" "70,603" 101 44 1.9 5.2 15.8 65.3 18.9 0.7 5.3 2.3 "96" "Cumbria" 34.3333333333333 14.3333333333333 4
"Eden" "52,564" 98.1 46 5.3 4.5 15.1 63 21.9 0.9 9.7 2.2 "25" "Cumbria" 34.3333333333333 14.3333333333333 4
"South Lakeland" "103,658" 95.1 48 1.2 4.3 14.1 61.6 24.2 1.2 5.8 2.2 "68" "Cumbria" 34.3333333333333 14.3333333333333 4
"Burnley" "87,059" 96.7 39 -2.7 6.7 18.4 65.3 16.2 0.8 1.5 2.3 "787" "Lancashire" 41.75 17.1666666666667 3
"Chorley" "107,155" 100.5 41 6.5 5.8 17 66.2 16.8 0.7 9.6 2.3 "528" "Lancashire" 41.75 17.1666666666667 3
"Fylde" "75,757" 94.4 47 3.4 4.8 14.8 61 24.2 1.2 9 2.1 "457" "Lancashire" 41.75 17.1666666666667 3
"Hyndburn" "80,734" 98.1 39 -0.9 6.7 19.2 65 15.9 0.6 4.1 2.3 "1,106" "Lancashire" 41.75 17.1666666666667 3
"Lancaster" "138,375" 93.4 40 3.3 5.2 15.5 66.2 18.3 0.9 3.3 2.2 "240" "Lancashire" 41.75 17.1666666666667 3
"Pendle" "89,452" 96.9 39 0.2 7.1 19.2 64.7 16 0.7 3.7 2.4 "528" "Lancashire" 41.75 17.1666666666667 3
"Preston" "140,202" 100.5 35 7.5 6.6 18 68.3 13.7 0.6 8.6 2.3 "985" "Lancashire" 41.75 17.1666666666667 3
"Ribble Valley" "57,132" 95.9 44 5.6 5 17.1 62.7 20.2 0.9 9.3 2.3 "98" "Lancashire" 41.75 17.1666666666667 3
"Rossendale" "67,982" 96.4 40 3.6 6.4 18.1 66.4 15.5 0.6 7.6 2.3 "492" "Lancashire" 41.75 17.1666666666667 3
"South Ribble" "109,057" 95.7 42 5 5.8 17 65.2 17.8 0.7 7.2 2.3 "965" "Lancashire" 41.75 17.1666666666667 3
"West Lancashire" "110,685" 94.7 42 2 5.4 16.8 64.3 18.9 0.7 3.1 2.4 "319" "Lancashire" 41.75 17.1666666666667 3
"Wyre" "107,749" 94.1 47 1.8 4.7 14.8 60.4 24.7 1.1 5.1 2.2 "381" "Lancashire" 41.75 17.1666666666667 3
"Bolton" "276,786" 97.5 38 5.9 6.8 19.3 65.3 15.4 0.6 7.8 2.4 "1,980" "Bolton" 59 41 6
"Bury" "185,060" 95.9 40 2.4 6.6 18.8 65.3 16 0.7 5.6 2.3 "1,860" "Bury" 69 25 6
"Manchester" "503,127" 100.8 29 19 7.2 18.2 72.3 9.4 0.4 14.5 2.3 "4,351" "Manchester" 120 69 20
"Oldham" "224,897" 96 37 2.9 7.3 21 64.3 14.7 0.6 1.9 2.5 "1,580" "Oldham" 50 33 6
"Rochdale" "211,699" 95.9 38 2.6 7 19.8 65.7 14.6 0.6 4.2 2.4 "1,339" "Rochdale" 68 35 6
"Salford" "233,933" 99.7 35 7.8 6.9 18.1 67.8 14.2 0.6 10.2 2.2 "2,407" "Salford" 60 28 9
"Stockport" "283,275" 95.5 41 -0.5 6.1 17.6 64.4 18 0.8 0.8 2.3 "2,247" "Stockport" 80 42 8
"Tameside" "219,324" 96.4 39 2.9 6.6 18.2 66.2 15.6 0.6 5.5 2.3 "2,126" "Tameside" 49 19 4
"Trafford" "226,578" 96 39 7.8 6.6 19 65 16 0.7 6.2 2.4 "2,137" "Trafford" 72 42 5
"Wigan" "317,849" 98.8 40 5.4 6.2 17.6 66.1 16.2 0.5 9.1 2.3 "1,689" "Wigan" 63 29 8
"Knowsley" "145,893" 90.6 40 -3.5 6.3 18.3 66 15.8 0.5 0.5 2.4 "1,687" "Knowsley" 36 20 2
"Liverpool" "466,415" 97.7 35 5.5 5.6 15.6 70.4 14 0.5 9.8 2.2 "4,170" "Liverpool" 141 68 22
"St. Helens" "175,308" 96.6 41 -0.8 5.9 17 65.1 17.9 0.6 3.7 2.3 "1,285" "St. Helens" 48 35 5
"Sefton" "273,790" 92.1 44 -3.2 5.3 16.1 63.1 20.8 0.9 0.8 2.3 "1,788" "Sefton" 149 38 5
"Wirral" "319,783" 92.7 42 1.5 5.8 17.3 63.7 19.1 0.9 4.1 2.3 "2,036" "Wirral" 147 45 6
"Kingston upon Thames" "256,406" 100.3 36 2.6 6.8 17.7 68.4 13.9 0.6 5.2 2.2 "3,589" "Kingston upon Thames" 51.5 14 4.5
"Kingston upon Thames" "256,406" 100.3 36 2.6 6.8 17.7 68.4 13.9 0.6 5.2 2.2 "3,589" "Kingston upon Thames" 25.5 10.5 2.5
"East Riding of Yorkshire UA" "334,179" 95.7 45 6.1 4.9 15.5 63.2 21.4 0.9 9.2 2.3 "139" "East Riding of Yorkshire" 157 40 14
"North East Lincolnshire UA" "159,616" 96.2 41 1 6.3 17.7 64.6 17.7 0.8 5.6 2.3 "832" "North East Lincolnshire" 62 22 7
"North Lincolnshire UA" "167,446" 97.4 42 9.4 6.1 17.4 64.6 17.9 0.7 10.4 2.3 "198" "North Lincolnshire" 70 17 2
"York UA" "198,051" 94.6 38 9.2 5.4 15 68.1 16.9 0.8 8.5 2.3 "728" "York" 49 33 19
"Craven" "55,409" 93.4 47 3.2 4.6 15.4 61.8 22.8 1.2 6.9 2.2 "47" "North Yorkshire" 36.1428571428571 17.1428571428571 2.42857142857143
"Hambleton" "89,140" 97.4 46 5.9 4.9 15.7 62.7 21.6 0.9 8.9 2.3 "68" "North Yorkshire" 36.1428571428571 17.1428571428571 2.42857142857143
"Harrogate" "157,869" 95.3 43 4.2 5.5 17 63.4 19.6 1.1 6.6 2.3 "121" "North Yorkshire" 36.1428571428571 17.1428571428571 2.42857142857143
"Richmondshire" "51,965" 111.6 40 10.3 5.6 16.7 65.9 17.5 0.7 12.3 2.3 "39" "North Yorkshire" 36.1428571428571 17.1428571428571 2.42857142857143
"Ryedale" "51,751" 96.5 47 1.7 4.6 15.2 61.5 23.3 1 7.3 2.2 "34" "North Yorkshire" 36.1428571428571 17.1428571428571 2.42857142857143
"Scarborough" "108,793" 93.5 46 2.4 4.9 14.8 61.9 23.3 1.1 5.2 2.2 "133" "North Yorkshire" 36.1428571428571 17.1428571428571 2.42857142857143
"Selby" "83,449" 96.3 42 8.9 5.8 17.1 66.1 16.8 0.7 11.5 2.4 "139" "North Yorkshire" 36.1428571428571 17.1428571428571 2.42857142857143
"Barnsley" "231,221" 96.6 41 6 6 17.3 65.4 17.3 0.6 9.5 2.3 "703" "Barnsley" 80 28 3
"Doncaster" "302,402" 97.4 40 5.4 6.4 17.8 65.3 16.9 0.7 6.3 2.3 "532" "Doncaster" 104 40 7
"Rotherham" "257,280" 96.3 41 3.6 6.1 17.9 64.7 17.4 0.7 6.2 2.4 "898" "Rotherham" 94 37 5
"Sheffield" "552,698" 97.4 36 7.7 6.1 17.1 67.4 15.5 0.8 5.5 2.3 "1,502" "Sheffield" 148 80 19
"Bradford" "522,452" 96.9 34 11 7.9 22 64.7 13.3 0.6 10.1 2.6 "1,426" "Bradford" 153 78 12
"Calderdale" "203,826" 95.6 40 5.9 6.3 18.4 65.7 15.9 0.7 9.4 2.3 "560" "Calderdale" 70 38 4
"Kirklees" "422,458" 97.6 38 8.6 6.7 19.1 65.8 15.2 0.6 9.1 2.4 "1,034" "Kirklees" 152 54 7
"Leeds" "751,485" 95.9 35 5 6.4 17.1 68.3 14.6 0.7 6.2 2.3 "1,362" "Leeds" 174 106 22
"Wakefield" "325,837" 96.4 41 3.3 6 17.2 65.9 16.9 0.7 6.4 2.3 "962" "Wakefield" 110 50 5
"Derby UA" "248,752" 97.9 36 7.8 7.1 19.1 65.7 15.1 0.7 7.7 2.4 "3,188" "Derby" 88 48 7
"Leicester UA" "329,839" 97.6 31 16.6 7.4 19.8 68.9 11.3 0.5 10.9 2.6 "4,497" "Leicester" 139 107 12
"Rutland UA" "37,369" 102.5 43 8 5 16.2 62.8 21 1 7.2 2.3 "98" "Rutland" 12 11 1
"Nottingham UA" "305,680" 101.2 30 13.7 6.5 17.1 71.3 11.6 0.5 8.7 2.3 "4,097" "Nottingham" 103 57 12
"Amber Valley" "122,309" 96.9 43 4.9 5.2 16.3 65 18.6 0.9 7.3 2.3 "461" "Derbyshire" 36.875 15.75 1.625
"Bolsover" "75,866" 97.2 42 5.5 5.6 16.7 65.1 18.2 0.8 9.3 2.3 "473" "Derbyshire" 36.875 15.75 1.625
"Chesterfield" "103,788" 96.2 42 5 5.6 16.3 65.1 18.6 0.8 8.8 2.2 "1,572" "Derbyshire" 36.875 15.75 1.625
"Derbyshire Dales" "71,116" 97.3 47 2.5 4.3 15.4 62.4 22.3 1.1 6 2.3 "90" "Derbyshire" 36.875 15.75 1.625
"Erewash" "112,081" 96.1 41 1.8 5.8 16.6 65.5 17.8 0.8 5.9 2.3 "1,022" "Derbyshire" 36.875 15.75 1.625
"High Peak" "90,892" 97.1 43 1.7 5.5 16.9 65.9 17.2 0.8 5.3 2.3 "169" "Derbyshire" 36.875 15.75 1.625
"North East Derbyshire" "99,023" 96.2 45 2.2 4.8 15.2 63.6 21.1 0.9 5 2.3 "359" "Derbyshire" 36.875 15.75 1.625
"South Derbyshire" "94,611" 98.6 40 15.8 6.1 18.4 66.1 15.5 0.6 18.2 2.4 "280" "Derbyshire" 36.875 15.75 1.625
"Blaby" "93,915" 96.9 42 3.9 5.8 17.4 64.6 18 0.7 7.5 2.4 "720" "Leicestershire" 29.7142857142857 14.1428571428571 2.28571428571429
"Charnwood" "166,100" 99.7 39 8.1 5.5 15.8 67.7 16.4 0.8 9 2.4 "595" "Leicestershire" 29.7142857142857 14.1428571428571 2.28571428571429
"Harborough" "85,382" 98.4 43 11.2 5.5 17.8 63.9 18.3 0.8 12.6 2.4 "144" "Leicestershire" 29.7142857142857 14.1428571428571 2.28571428571429
"Hinckley and Bosworth" "105,078" 96.9 43 4.9 5.5 16.5 65.1 18.4 0.7 10.7 2.3 "353" "Leicestershire" 29.7142857142857 14.1428571428571 2.28571428571429
"Melton" "50,376" 96.3 43 5.2 5.5 16.9 64.7 18.4 0.8 7.5 2.3 "105" "Leicestershire" 29.7142857142857 14.1428571428571 2.28571428571429
"North West Leicestershire" "93,468" 98.3 42 9.1 5.9 17.7 64.9 17.4 0.7 8.7 2.4 "335" "Leicestershire" 29.7142857142857 14.1428571428571 2.28571428571429
"Oadby and Wigston" "56,170" 93.7 41 0.7 5.1 16.1 64.5 19.4 0.9 -3 2.5 "2,388" "Leicestershire" 29.7142857142857 14.1428571428571 2.28571428571429
"Boston" "64,637" 95.3 42 15.8 5.9 16.4 63.9 19.7 0.8 13.7 2.3 "179" "Lincolnshire" 43.7142857142857 11.7142857142857 3.42857142857143
"East Lindsey" "136,401" 94.9 49 4.4 4.5 14.2 59.8 26 1 8.7 2.2 "77" "Lincolnshire" 43.7142857142857 11.7142857142857 3.42857142857143
"Lincoln" "93,541" 95.8 34 9.3 5.9 15.4 70.4 14.2 0.8 7.6 2.2 "2,621" "Lincolnshire" 43.7142857142857 11.7142857142857 3.42857142857143
"North Kesteven" "107,766" 95.4 44 14.2 5.1 16.4 62.7 20.9 0.9 17.9 2.3 "117" "Lincolnshire" 43.7142857142857 11.7142857142857 3.42857142857143
"South Holland" "88,270" 95.5 45 15.1 5.1 15.6 62.1 22.3 1 12.9 2.3 "119" "Lincolnshire" 43.7142857142857 11.7142857142857 3.42857142857143
"South Kesteven" "133,788" 93.5 43 7.1 5.6 17.1 63.8 19.1 0.9 10.3 2.3 "142" "Lincolnshire" 43.7142857142857 11.7142857142857 3.42857142857143
"West Lindsey" "89,250" 95 45 12.1 4.9 16 63.1 20.9 0.9 16.3 2.3 "77" "Lincolnshire" 43.7142857142857 11.7142857142857 3.42857142857143
"Corby" "61,255" 96.9 37 14.7 7.4 19.4 67 13.6 0.4 14.6 2.4 "763" "Northamptonshire" 42.2857142857143 17.5714285714286 3
"Daventry" "77,843" 99.9 43 8.1 5.6 17.7 65.4 16.9 0.7 9.1 2.4 "117" "Northamptonshire" 42.2857142857143 17.5714285714286 3
"East Northamptonshire" "86,765" 98.5 42 13 6 18.4 64.8 16.8 0.8 15 2.4 "170" "Northamptonshire" 42.2857142857143 17.5714285714286 3
"Kettering" "93,475" 96.5 40 13.6 6.7 18.7 65.2 16 0.8 16.8 2.3 "400" "Northamptonshire" 42.2857142857143 17.5714285714286 3
"Northampton" "212,069" 96.5 36 9.1 7.5 19.1 67.6 13.3 0.7 9.5 2.3 "2,626" "Northamptonshire" 42.2857142857143 17.5714285714286 3
"South Northamptonshire" "85,189" 97.7 43 7.2 5.6 18.2 64.9 16.9 0.7 8.5 2.4 "134" "Northamptonshire" 42.2857142857143 17.5714285714286 3
"Wellingborough" "75,356" 96.9 40 3.9 6.7 18.7 64.9 16.4 0.7 6.9 2.3 "462" "Northamptonshire" 42.2857142857143 17.5714285714286 3
"Ashfield" "119,497" 96.4 41 7.2 6.2 17.8 65.3 16.9 0.7 8.4 2.3 "1,091" "Nottinghamshire" 43.8571428571429 14.5714285714286 3.42857142857143
"Bassetlaw" "112,863" 98.6 43 4.7 5.4 16.6 64.8 18.6 0.7 5.9 2.3 "177" "Nottinghamshire" 43.8571428571429 14.5714285714286 3.42857142857143
"Broxtowe" "109,487" 97.7 42 1.8 5.6 15.8 65.8 18.4 0.8 4 2.3 "1,367" "Nottinghamshire" 43.8571428571429 14.5714285714286 3.42857142857143
"Gedling" "113,543" 95.1 42 1.6 5.7 16.7 64.7 18.5 0.7 2.8 2.3 "946" "Nottinghamshire" 43.8571428571429 14.5714285714286 3.42857142857143
"Mansfield" "104,466" 96.5 41 6.5 6.1 17 65.9 17.2 0.7 9.6 2.3 "1,362" "Nottinghamshire" 43.8571428571429 14.5714285714286 3.42857142857143
"Newark and Sherwood" "114,817" 97.1 43 7.9 5.5 16.9 64.1 19 0.8 8.4 2.3 "176" "Nottinghamshire" 43.8571428571429 14.5714285714286 3.42857142857143
"Rushcliffe" "111,129" 96.9 42 5 5.8 17.3 64.3 18.4 0.8 4.2 2.4 "272" "Nottinghamshire" 43.8571428571429 14.5714285714286 3.42857142857143
"Herefordshire, County of UA" "183,477" 96.9 44 4.9 5.2 15.9 62.8 21.3 1 5.8 2.3 "84" "Herefordshire" 97 46 7
"Telford and Wrekin UA" "166,641" 98.2 38 5.1 6.8 19.2 66.4 14.5 0.5 4.1 2.5 "574" "Telford and the Wrekin" 60 41 2
"Stoke-on-Trent UA" "249,008" 99.2 38 3.6 6.9 18.3 66.1 15.6 0.6 4.4 2.3 "2,665" "Stoke-on-Trent" 100 42 6
"Shropshire UA" "306,129" 98.1 44 8.1 5.1 16.1 63.2 20.7 0.9 10.8 2.3 "96" "Shropshire" 141 60 15
"Cannock Chase" "97,462" 97.5 40 5.7 6 17.6 66.4 16.1 0.6 9.9 2.4 "1,236" "Staffordshire" 35.875 14 2.5
"East Staffordshire" "113,583" 98.6 40 9.3 6.2 17.8 65.3 16.8 0.7 9.9 2.4 "294" "Staffordshire" 35.875 14 2.5
"Lichfield" "100,654" 98.4 44 8 5.3 16.3 63.6 20.1 0.8 8.5 2.4 "304" "Staffordshire" 35.875 14 2.5
"Newcastle-under-Lyme" "123,871" 97.7 41 1.5 5.1 15.9 66 18.2 0.7 3.1 2.3 "587" "Staffordshire" 35.875 14 2.5
"South Staffordshire" "108,131" 97 45 2.1 4.5 15.1 64.1 20.8 0.8 5.9 2.4 "265" "Staffordshire" 35.875 14 2.5
"Stafford" "130,869" 100.4 43 8.4 5.4 15.9 64.8 19.3 0.9 11.4 2.3 "219" "Staffordshire" 35.875 14 2.5
"Staffordshire Moorlands" "97,106" 96.9 45 2.6 4.8 15.3 63.7 21 0.9 7.1 2.3 "169" "Staffordshire" 35.875 14 2.5
"Tamworth" "76,813" 96.4 39 3 6.6 18.7 66.8 14.5 0.5 9 2.4 "2,490" "Staffordshire" 35.875 14 2.5
"North Warwickshire" "62,014" 97.4 43 0.3 5.3 16.5 65.2 18.4 0.7 3.2 2.4 "218" "Warwickshire" 40.6 16.4 2
"Nuneaton and Bedworth" "125,252" 96.3 40 5.1 6.3 17.8 65.4 16.7 0.6 7.6 2.4 "1,586" "Warwickshire" 40.6 16.4 2
"Rugby" "100,075" 99.4 40 14.4 6.3 18.1 64.6 17.3 0.8 16.3 2.3 "285" "Warwickshire" 40.6 16.4 2
"Stratford-on-Avon" "120,485" 94.4 46 8 5 15.8 62.2 22.1 1.1 10.5 2.3 "123" "Warwickshire" 40.6 16.4 2
"Warwick" "137,648" 99.5 39 9.2 5.8 16.1 67.1 16.7 0.8 10.7 2.3 "487" "Warwickshire" 40.6 16.4 2
"Bromsgrove" "93,637" 97.8 44 6.5 5.1 16.3 63.3 20.4 1.1 9.4 2.4 "432" "Worcestershire" 38.8333333333333 15.5 3
"Malvern Hills" "74,631" 94.9 47 3.4 4.4 15.3 60.6 24.1 1.2 7.4 2.2 "129" "Worcestershire" 38.8333333333333 15.5 3
"Redditch" "84,214" 98.8 38 6.9 6.7 18.4 67.5 14.1 0.6 8.5 2.4 "1,552" "Worcestershire" 38.8333333333333 15.5 3
"Worcester" "98,768" 96.7 37 5.7 6.4 17.6 67.6 14.8 0.7 7.8 2.3 "2,968" "Worcestershire" 38.8333333333333 15.5 3
"Wychavon" "116,944" 96.5 45 3.4 4.9 15.8 62.8 21.4 1 5.2 2.3 "176" "Worcestershire" 38.8333333333333 15.5 3
"Wyre Forest" "97,975" 97.2 44 1.1 5.4 16 63.1 20.9 0.9 7.5 2.3 "501" "Worcestershire" 38.8333333333333 15.5 3
"Birmingham" "1,073,045" 96.8 32 9 7.6 21.4 65.7 12.9 0.6 5 2.6 "4,007" "Birmingham" 368 192 41
"Coventry" "316,960" 98.9 34 4.7 7.1 18.5 66.9 14.6 0.7 5.4 2.4 "3,213" "Coventry" 90 76 4
"Dudley" "312,925" 96.7 41 2.6 6 17.7 63.7 18.6 0.7 3.9 2.4 "3,194" "Dudley" 104 42 5
"Sandwell" "308,063" 96.9 36 8.2 7.4 20.2 64.6 15.2 0.7 5.7 2.5 "3,601" "Sandwell" 109 80 11
"Solihull" "206,674" 94.4 42 3.5 5.6 17.6 63.2 19.2 0.9 6.2 2.4 "1,159" "Solihull" 71 35 6
"Walsall" "269,323" 96.6 39 6.3 6.8 19.5 63.5 17 0.6 6.8 2.5 "2,591" "Walsall" 66 46 9
"Wolverhampton" "249,470" 97.9 37 4.8 6.7 18.5 65.2 16.3 0.7 5.3 2.4 "3,593" "Wolverhampton" 92 46 5
"Peterborough UA" "183,631" 97.9 35 16.7 7.6 20 66.5 13.5 0.6 12.2 2.5 "535" "Peterborough" 53 52 6
"Luton UA" "203,201" 100.7 32 9.3 8.2 21.7 66.6 11.8 0.5 4.6 2.7 "4,687" "Luton" 48 33 7
"Southend-on-Sea UA" "173,658" 96 40 8.3 6.5 17.8 64.5 17.7 1.1 5.2 2.3 "4,159" "Southend-on-Sea" 115 39 6
"Thurrock UA" "157,705" 97.4 36 10.1 7.6 20.4 66.9 12.7 0.5 7.5 2.5 "965" "Thurrock" 45 23 4
"Bedford UA" "157,479" 96.4 39 6.3 6.4 18.7 65.5 15.8 0.7 6.4 2.4 "331" "Bedford" 86 38 8
"Central Bedfordshire UA" "254,381" 98.2 40 8.7 6.3 18.3 66.1 15.7 0.6 11.1 2.4 "355" "Central Bedfordshire" 66 37 2
"Cambridge" "123,867" 103.5 31 12.7 5.4 13.5 74.7 11.8 0.8 8.6 2.3 "3,044" "Cambridgeshire" 32.8 15.4 4.6
"East Cambridgeshire" "83,818" 97.8 40 14.2 6.6 18.3 64.6 17.1 0.8 15.4 2.4 "129" "Cambridgeshire" 32.8 15.4 4.6
"Fenland" "95,262" 96.6 43 13.8 5.5 16.4 63.4 20.3 0.9 16.1 2.3 "174" "Cambridgeshire" 32.8 15.4 4.6
"Huntingdonshire" "169,508" 99.5 41 7.8 6 17.8 66.1 16.1 0.7 10.1 2.4 "187" "Cambridgeshire" 32.8 15.4 4.6
"South Cambridgeshire" "148,755" 98.4 41 14 6.3 18.5 64.9 16.6 0.8 15.3 2.4 "165" "Cambridgeshire" 32.8 15.4 4.6
"Basildon" "174,497" 94.2 39 5.2 6.5 18.9 65.1 16 0.7 5.4 2.4 "1,586" "Essex" 42.5 18.5833333333333 4.75
"Braintree" "147,084" 96.3 41 11 6.4 18.5 65 16.6 0.8 13 2.4 "240" "Essex" 42.5 18.5833333333333 4.75
"Brentwood" "73,601" 93.6 43 7.4 5.3 17.1 63.8 19.1 1 5.7 2.4 "481" "Essex" 42.5 18.5833333333333 4.75
"Castle Point" "88,011" 95.1 45 1.5 4.7 15.6 62.8 21.6 0.9 4.1 2.4 "1,953" "Essex" 42.5 18.5833333333333 4.75
"Chelmsford" "168,310" 97.1 40 7 5.9 17.4 66 16.6 0.8 7.2 2.4 "497" "Essex" 42.5 18.5833333333333 4.75
"Colchester" "173,074" 97.3 38 10.9 6.2 17.1 67.1 15.8 0.8 11.9 2.3 "526" "Essex" 42.5 18.5833333333333 4.75
"Epping Forest" "124,659" 94.1 42 3 5.9 17.2 64.7 18.1 0.9 1.9 2.4 "368" "Essex" 42.5 18.5833333333333 4.75
"Harlow" "81,944" 93.9 37 4 7.3 19.4 65.6 15 0.6 4.9 2.4 "2,683" "Essex" 42.5 18.5833333333333 4.75
"Maldon" "61,629" 97.7 45 3.4 4.9 16.2 63.7 20.1 1 7.6 2.4 "172" "Essex" 42.5 18.5833333333333 4.75
"Rochford" "83,287" 96 44 5.8 5.2 16.7 63.3 20 0.8 4.9 2.5 "491" "Essex" 42.5 18.5833333333333 4.75
"Tendring" "138,048" 91.8 48 -0.5 4.9 15.2 57.8 27 1.4 0.2 2.2 "409" "Essex" 42.5 18.5833333333333 4.75
"Uttlesford" "79,443" 97.4 42 15.1 5.9 18.8 64.1 17.1 0.9 11.8 2.5 "124" "Essex" 42.5 18.5833333333333 4.75
"Broxbourne" "93,609" 94 39 7.3 6.6 18.8 64.8 16.3 0.6 7.6 2.5 "1,820" "Hertfordshire" 31.6 13.6 4.1
"Dacorum" "144,847" 97 40 5.1 6.7 18.6 65.6 15.8 0.8 7 2.4 "682" "Hertfordshire" 31.6 13.6 4.1
"East Hertfordshire" "137,687" 96.7 40 6.7 6 18.6 65.9 15.4 0.7 8.8 2.4 "289" "Hertfordshire" 31.6 13.6 4.1
"Hertsmere" "100,031" 93.3 39 5.9 6.7 18.9 64.8 16.3 0.9 4.7 2.5 "989" "Hertfordshire" 31.6 13.6 4.1
"North Hertfordshire" "127,114" 96.4 40 8.6 6.3 18.2 64.7 17.1 0.9 9 2.4 "339" "Hertfordshire" 31.6 13.6 4.1
"St Albans" "140,664" 96.4 39 8.9 7.3 20.1 64.4 15.5 0.8 5.9 2.5 "873" "Hertfordshire" 31.6 13.6 4.1
"Stevenage" "83,957" 97.7 37 5.2 7 19 66.8 14.1 0.6 5.8 2.4 "3,234" "Hertfordshire" 31.6 13.6 4.1
"Three Rivers" "87,317" 94.3 41 5.3 6.2 18.7 64.4 16.8 0.9 3.3 2.5 "983" "Hertfordshire" 31.6 13.6 4.1
"Watford" "90,301" 98.6 35 12.3 7.5 19.3 68.3 12.3 0.6 14.6 2.4 "4,215" "Hertfordshire" 31.6 13.6 4.1
"Welwyn Hatfield" "110,535" 96.8 36 13.3 6.1 17.1 67.6 15.3 0.8 9 2.4 "853" "Hertfordshire" 31.6 13.6 4.1
"Breckland" "130,491" 97.9 44 7.3 5.7 16.3 62.1 21.6 1 6.9 2.3 "100" "Norfolk" 58.2857142857143 20.2857142857143 4.28571428571429
"Broadland" "124,646" 95.2 45 4.9 4.9 15.6 62.1 22.3 1.1 6.7 2.3 "226" "Norfolk" 58.2857142857143 20.2857142857143 4.28571428571429
"Great Yarmouth" "97,277" 96.5 43 7 5.7 16.5 62.6 20.9 0.9 7.9 2.3 "560" "Norfolk" 58.2857142857143 20.2857142857143 4.28571428571429
