"Local.authority" "Usual.residents.2011" "Sex.ratio.2011" "Median.age.2011" "Percentage.change.in.usual.residents.2011" "Percentage.of.population.aged.0.4.2011" "Percentage.of.population.aged.0.14.2011" "Percentage.of.population.aged.15.64.2011" "Percentage.of.population.aged.65.and.over.2011" "Percentage.of.population.aged.90.and.over.2011" "Percentage.change.in.households.2011" "Average.household.size..persons..2011" "Population.density..km2..2011"
"Ribble Valley" "57,132" 95.9 44 5.6 5 17.1 62.7 20.2 0.9 9.3 2.3 "98"
"Rossendale" "67,982" 96.4 40 3.6 6.4 18.1 66.4 15.5 0.6 7.6 2.3 "492"
"South Ribble" "109,057" 95.7 42 5 5.8 17 65.2 17.8 0.7 7.2 2.3 "965"
"West Lancashire" "110,685" 94.7 42 2 5.4 16.8 64.3 18.9 0.7 3.1 2.4 "319"
"Wyre" "107,749" 94.1 47 1.8 4.7 14.8 60.4 24.7 1.1 5.1 2.2 "381"
"Bolton" "276,786" 97.5 38 5.9 6.8 19.3 65.3 15.4 0.6 7.8 2.4 "1,980"
"Bury" "185,060" 95.9 40 2.4 6.6 18.8 65.3 16 0.7 5.6 2.3 "1,860"
"Manchester" "503,127" 100.8 29 19 7.2 18.2 72.3 9.4 0.4 14.5 2.3 "4,351"
"Oldham" "224,897" 96 37 2.9 7.3 21 64.3 14.7 0.6 1.9 2.5 "1,580"
"Rochdale" "211,699" 95.9 38 2.6 7 19.8 65.7 14.6 0.6 4.2 2.4 "1,339"
"Salford" "233,933" 99.7 35 7.8 6.9 18.1 67.8 14.2 0.6 10.2 2.2 "2,407"
"Stockport" "283,275" 95.5 41 -0.5 6.1 17.6 64.4 18 0.8 0.8 2.3 "2,247"
"Tameside" "219,324" 96.4 39 2.9 6.6 18.2 66.2 15.6 0.6 5.5 2.3 "2,126"
"Trafford" "226,578" 96 39 7.8 6.6 19 65 16 0.7 6.2 2.4 "2,137"
"Wigan" "317,849" 98.8 40 5.4 6.2 17.6 66.1 16.2 0.5 9.1 2.3 "1,689"
"Knowsley" "145,893" 90.6 40 -3.5 6.3 18.3 66 15.8 0.5 0.5 2.4 "1,687"
"Liverpool" "466,415" 97.7 35 5.5 5.6 15.6 70.4 14 0.5 9.8 2.2 "4,170"
"St. Helens" "175,308" 96.6 41 -0.8 5.9 17 65.1 17.9 0.6 3.7 2.3 "1,285"
"Sefton" "273,790" 92.1 44 -3.2 5.3 16.1 63.1 20.8 0.9 0.8 2.3 "1,788"
"Wirral" "319,783" 92.7 42 1.5 5.8 17.3 63.7 19.1 0.9 4.1 2.3 "2,036"
"Kingston upon Thames" "256,406" 100.3 36 2.6 6.8 17.7 68.4 13.9 0.6 5.2 2.2 "3,589"
"East Riding of Yorkshire UA" "334,179" 95.7 45 6.1 4.9 15.5 63.2 21.4 0.9 9.2 2.3 "139"
"North East Lincolnshire UA" "159,616" 96.2 41 1 6.3 17.7 64.6 17.7 0.8 5.6 2.3 "832"
"North Lincolnshire UA" "167,446" 97.4 42 9.4 6.1 17.4 64.6 17.9 0.7 10.4 2.3 "198"
"York UA" "198,051" 94.6 38 9.2 5.4 15 68.1 16.9 0.8 8.5 2.3 "728"
"Craven" "55,409" 93.4 47 3.2 4.6 15.4 61.8 22.8 1.2 6.9 2.2 "47"
"Hambleton" "89,140" 97.4 46 5.9 4.9 15.7 62.7 21.6 0.9 8.9 2.3 "68"
"Harrogate" "157,869" 95.3 43 4.2 5.5 17 63.4 19.6 1.1 6.6 2.3 "121"
"Richmondshire" "51,965" 111.6 40 10.3 5.6 16.7 65.9 17.5 0.7 12.3 2.3 "39"
"Ryedale" "51,751" 96.5 47 1.7 4.6 15.2 61.5 23.3 1 7.3 2.2 "34"
"Scarborough" "108,793" 93.5 46 2.4 4.9 14.8 61.9 23.3 1.1 5.2 2.2 "133"
"Selby" "83,449" 96.3 42 8.9 5.8 17.1 66.1 16.8 0.7 11.5 2.4 "139"
"Barnsley" "231,221" 96.6 41 6 6 17.3 65.4 17.3 0.6 9.5 2.3 "703"
"Doncaster" "302,402" 97.4 40 5.4 6.4 17.8 65.3 16.9 0.7 6.3 2.3 "532"
"Rotherham" "257,280" 96.3 41 3.6 6.1 17.9 64.7 17.4 0.7 6.2 2.4 "898"
"Sheffield" "552,698" 97.4 36 7.7 6.1 17.1 67.4 15.5 0.8 5.5 2.3 "1,502"
"Bradford" "522,452" 96.9 34 11 7.9 22 64.7 13.3 0.6 10.1 2.6 "1,426"
"Calderdale" "203,826" 95.6 40 5.9 6.3 18.4 65.7 15.9 0.7 9.4 2.3 "560"
"Kirklees" "422,458" 97.6 38 8.6 6.7 19.1 65.8 15.2 0.6 9.1 2.4 "1,034"
"Leeds" "751,485" 95.9 35 5 6.4 17.1 68.3 14.6 0.7 6.2 2.3 "1,362"
"Wakefield" "325,837" 96.4 41 3.3 6 17.2 65.9 16.9 0.7 6.4 2.3 "962"
"Derby UA" "248,752" 97.9 36 7.8 7.1 19.1 65.7 15.1 0.7 7.7 2.4 "3,188"
"Leicester UA" "329,839" 97.6 31 16.6 7.4 19.8 68.9 11.3 0.5 10.9 2.6 "4,497"
"Rutland UA" "37,369" 102.5 43 8 5 16.2 62.8 21 1 7.2 2.3 "98"
"Nottingham UA" "305,680" 101.2 30 13.7 6.5 17.1 71.3 11.6 0.5 8.7 2.3 "4,097"
"Amber Valley" "122,309" 96.9 43 4.9 5.2 16.3 65 18.6 0.9 7.3 2.3 "461"
"Bolsover" "75,866" 97.2 42 5.5 5.6 16.7 65.1 18.2 0.8 9.3 2.3 "473"
"Chesterfield" "103,788" 96.2 42 5 5.6 16.3 65.1 18.6 0.8 8.8 2.2 "1,572"
"Derbyshire Dales" "71,116" 97.3 47 2.5 4.3 15.4 62.4 22.3 1.1 6 2.3 "90"
"Erewash" "112,081" 96.1 41 1.8 5.8 16.6 65.5 17.8 0.8 5.9 2.3 "1,022"
"High Peak" "90,892" 97.1 43 1.7 5.5 16.9 65.9 17.2 0.8 5.3 2.3 "169"
"North East Derbyshire" "99,023" 96.2 45 2.2 4.8 15.2 63.6 21.1 0.9 5 2.3 "359"
"South Derbyshire" "94,611" 98.6 40 15.8 6.1 18.4 66.1 15.5 0.6 18.2 2.4 "280"
"Blaby" "93,915" 96.9 42 3.9 5.8 17.4 64.6 18 0.7 7.5 2.4 "720"
"Charnwood" "166,100" 99.7 39 8.1 5.5 15.8 67.7 16.4 0.8 9 2.4 "595"
"Harborough" "85,382" 98.4 43 11.2 5.5 17.8 63.9 18.3 0.8 12.6 2.4 "144"
"Hinckley and Bosworth" "105,078" 96.9 43 4.9 5.5 16.5 65.1 18.4 0.7 10.7 2.3 "353"
"Melton" "50,376" 96.3 43 5.2 5.5 16.9 64.7 18.4 0.8 7.5 2.3 "105"
"North West Leicestershire" "93,468" 98.3 42 9.1 5.9 17.7 64.9 17.4 0.7 8.7 2.4 "335"
"Oadby and Wigston" "56,170" 93.7 41 0.7 5.1 16.1 64.5 19.4 0.9 -3 2.5 "2,388"
"Boston" "64,637" 95.3 42 15.8 5.9 16.4 63.9 19.7 0.8 13.7 2.3 "179"
"East Lindsey" "136,401" 94.9 49 4.4 4.5 14.2 59.8 26 1 8.7 2.2 "77"
"Lincoln" "93,541" 95.8 34 9.3 5.9 15.4 70.4 14.2 0.8 7.6 2.2 "2,621"
"North Kesteven" "107,766" 95.4 44 14.2 5.1 16.4 62.7 20.9 0.9 17.9 2.3 "117"
"South Holland" "88,270" 95.5 45 15.1 5.1 15.6 62.1 22.3 1 12.9 2.3 "119"
"South Kesteven" "133,788" 93.5 43 7.1 5.6 17.1 63.8 19.1 0.9 10.3 2.3 "142"
"West Lindsey" "89,250" 95 45 12.1 4.9 16 63.1 20.9 0.9 16.3 2.3 "77"
"Corby" "61,255" 96.9 37 14.7 7.4 19.4 67 13.6 0.4 14.6 2.4 "763"
"Daventry" "77,843" 99.9 43 8.1 5.6 17.7 65.4 16.9 0.7 9.1 2.4 "117"
"East Northamptonshire" "86,765" 98.5 42 13 6 18.4 64.8 16.8 0.8 15 2.4 "170"
"Kettering" "93,475" 96.5 40 13.6 6.7 18.7 65.2 16 0.8 16.8 2.3 "400"
"Northampton" "212,069" 96.5 36 9.1 7.5 19.1 67.6 13.3 0.7 9.5 2.3 "2,626"
"South Northamptonshire" "85,189" 97.7 43 7.2 5.6 18.2 64.9 16.9 0.7 8.5 2.4 "134"
"Wellingborough" "75,356" 96.9 40 3.9 6.7 18.7 64.9 16.4 0.7 6.9 2.3 "462"
"Ashfield" "119,497" 96.4 41 7.2 6.2 17.8 65.3 16.9 0.7 8.4 2.3 "1,091"
"Bassetlaw" "112,863" 98.6 43 4.7 5.4 16.6 64.8 18.6 0.7 5.9 2.3 "177"
"Broxtowe" "109,487" 97.7 42 1.8 5.6 15.8 65.8 18.4 0.8 4 2.3 "1,367"
"Gedling" "113,543" 95.1 42 1.6 5.7 16.7 64.7 18.5 0.7 2.8 2.3 "946"
"Mansfield" "104,466" 96.5 41 6.5 6.1 17 65.9 17.2 0.7 9.6 2.3 "1,362"
"Newark and Sherwood" "114,817" 97.1 43 7.9 5.5 16.9 64.1 19 0.8 8.4 2.3 "176"
"Rushcliffe" "111,129" 96.9 42 5 5.8 17.3 64.3 18.4 0.8 4.2 2.4 "272"
"Herefordshire, County of UA" "183,477" 96.9 44 4.9 5.2 15.9 62.8 21.3 1 5.8 2.3 "84"
"Telford and Wrekin UA" "166,641" 98.2 38 5.1 6.8 19.2 66.4 14.5 0.5 4.1 2.5 "574"
"Stoke-on-Trent UA" "249,008" 99.2 38 3.6 6.9 18.3 66.1 15.6 0.6 4.4 2.3 "2,665"
"Shropshire UA" "306,129" 98.1 44 8.1 5.1 16.1 63.2 20.7 0.9 10.8 2.3 "96"
"Cannock Chase" "97,462" 97.5 40 5.7 6 17.6 66.4 16.1 0.6 9.9 2.4 "1,236"
"East Staffordshire" "113,583" 98.6 40 9.3 6.2 17.8 65.3 16.8 0.7 9.9 2.4 "294"
"Lichfield" "100,654" 98.4 44 8 5.3 16.3 63.6 20.1 0.8 8.5 2.4 "304"
"Newcastle-under-Lyme" "123,871" 97.7 41 1.5 5.1 15.9 66 18.2 0.7 3.1 2.3 "587"
"South Staffordshire" "108,131" 97 45 2.1 4.5 15.1 64.1 20.8 0.8 5.9 2.4 "265"
"Stafford" "130,869" 100.4 43 8.4 5.4 15.9 64.8 19.3 0.9 11.4 2.3 "219"
"Staffordshire Moorlands" "97,106" 96.9 45 2.6 4.8 15.3 63.7 21 0.9 7.1 2.3 "169"
"Tamworth" "76,813" 96.4 39 3 6.6 18.7 66.8 14.5 0.5 9 2.4 "2,490"
"North Warwickshire" "62,014" 97.4 43 0.3 5.3 16.5 65.2 18.4 0.7 3.2 2.4 "218"
"Nuneaton and Bedworth" "125,252" 96.3 40 5.1 6.3 17.8 65.4 16.7 0.6 7.6 2.4 "1,586"
"Rugby" "100,075" 99.4 40 14.4 6.3 18.1 64.6 17.3 0.8 16.3 2.3 "285"
"Stratford-on-Avon" "120,485" 94.4 46 8 5 15.8 62.2 22.1 1.1 10.5 2.3 "123"
"Warwick" "137,648" 99.5 39 9.2 5.8 16.1 67.1 16.7 0.8 10.7 2.3 "487"
"Bromsgrove" "93,637" 97.8 44 6.5 5.1 16.3 63.3 20.4 1.1 9.4 2.4 "432"
"Malvern Hills" "74,631" 94.9 47 3.4 4.4 15.3 60.6 24.1 1.2 7.4 2.2 "129"
"Redditch" "84,214" 98.8 38 6.9 6.7 18.4 67.5 14.1 0.6 8.5 2.4 "1,552"
"Worcester" "98,768" 96.7 37 5.7 6.4 17.6 67.6 14.8 0.7 7.8 2.3 "2,968"
"Wychavon" "116,944" 96.5 45 3.4 4.9 15.8 62.8 21.4 1 5.2 2.3 "176"
"Wyre Forest" "97,975" 97.2 44 1.1 5.4 16 63.1 20.9 0.9 7.5 2.3 "501"
"Birmingham" "1,073,045" 96.8 32 9 7.6 21.4 65.7 12.9 0.6 5 2.6 "4,007"
"Coventry" "316,960" 98.9 34 4.7 7.1 18.5 66.9 14.6 0.7 5.4 2.4 "3,213"
"Dudley" "312,925" 96.7 41 2.6 6 17.7 63.7 18.6 0.7 3.9 2.4 "3,194"
"Sandwell" "308,063" 96.9 36 8.2 7.4 20.2 64.6 15.2 0.7 5.7 2.5 "3,601"
"Solihull" "206,674" 94.4 42 3.5 5.6 17.6 63.2 19.2 0.9 6.2 2.4 "1,159"
"Walsall" "269,323" 96.6 39 6.3 6.8 19.5 63.5 17 0.6 6.8 2.5 "2,591"
"Wolverhampton" "249,470" 97.9 37 4.8 6.7 18.5 65.2 16.3 0.7 5.3 2.4 "3,593"
"Peterborough UA" "183,631" 97.9 35 16.7 7.6 20 66.5 13.5 0.6 12.2 2.5 "535"
"Luton UA" "203,201" 100.7 32 9.3 8.2 21.7 66.6 11.8 0.5 4.6 2.7 "4,687"
"Southend-on-Sea UA" "173,658" 96 40 8.3 6.5 17.8 64.5 17.7 1.1 5.2 2.3 "4,159"
"Thurrock UA" "157,705" 97.4 36 10.1 7.6 20.4 66.9 12.7 0.5 7.5 2.5 "965"
"Bedford UA" "157,479" 96.4 39 6.3 6.4 18.7 65.5 15.8 0.7 6.4 2.4 "331"
"Central Bedfordshire UA" "254,381" 98.2 40 8.7 6.3 18.3 66.1 15.7 0.6 11.1 2.4 "355"
"Cambridge" "123,867" 103.5 31 12.7 5.4 13.5 74.7 11.8 0.8 8.6 2.3 "3,044"
"East Cambridgeshire" "83,818" 97.8 40 14.2 6.6 18.3 64.6 17.1 0.8 15.4 2.4 "129"
"Fenland" "95,262" 96.6 43 13.8 5.5 16.4 63.4 20.3 0.9 16.1 2.3 "174"
"Huntingdonshire" "169,508" 99.5 41 7.8 6 17.8 66.1 16.1 0.7 10.1 2.4 "187"
"South Cambridgeshire" "148,755" 98.4 41 14 6.3 18.5 64.9 16.6 0.8 15.3 2.4 "165"
"Basildon" "174,497" 94.2 39 5.2 6.5 18.9 65.1 16 0.7 5.4 2.4 "1,586"
"Braintree" "147,084" 96.3 41 11 6.4 18.5 65 16.6 0.8 13 2.4 "240"
"Brentwood" "73,601" 93.6 43 7.4 5.3 17.1 63.8 19.1 1 5.7 2.4 "481"
"Castle Point" "88,011" 95.1 45 1.5 4.7 15.6 62.8 21.6 0.9 4.1 2.4 "1,953"
"Chelmsford" "168,310" 97.1 40 7 5.9 17.4 66 16.6 0.8 7.2 2.4 "497"
"Colchester" "173,074" 97.3 38 10.9 6.2 17.1 67.1 15.8 0.8 11.9 2.3 "526"
"Epping Forest" "124,659" 94.1 42 3 5.9 17.2 64.7 18.1 0.9 1.9 2.4 "368"
"Harlow" "81,944" 93.9 37 4 7.3 19.4 65.6 15 0.6 4.9 2.4 "2,683"
"Maldon" "61,629" 97.7 45 3.4 4.9 16.2 63.7 20.1 1 7.6 2.4 "172"
"Rochford" "83,287" 96 44 5.8 5.2 16.7 63.3 20 0.8 4.9 2.5 "491"
"Tendring" "138,048" 91.8 48 -0.5 4.9 15.2 57.8 27 1.4 0.2 2.2 "409"
"Uttlesford" "79,443" 97.4 42 15.1 5.9 18.8 64.1 17.1 0.9 11.8 2.5 "124"
"Broxbourne" "93,609" 94 39 7.3 6.6 18.8 64.8 16.3 0.6 7.6 2.5 "1,820"
"Dacorum" "144,847" 97 40 5.1 6.7 18.6 65.6 15.8 0.8 7 2.4 "682"
"East Hertfordshire" "137,687" 96.7 40 6.7 6 18.6 65.9 15.4 0.7 8.8 2.4 "289"
"Hertsmere" "100,031" 93.3 39 5.9 6.7 18.9 64.8 16.3 0.9 4.7 2.5 "989"
"North Hertfordshire" "127,114" 96.4 40 8.6 6.3 18.2 64.7 17.1 0.9 9 2.4 "339"
"St Albans" "140,664" 96.4 39 8.9 7.3 20.1 64.4 15.5 0.8 5.9 2.5 "873"
"Stevenage" "83,957" 97.7 37 5.2 7 19 66.8 14.1 0.6 5.8 2.4 "3,234"
"Three Rivers" "87,317" 94.3 41 5.3 6.2 18.7 64.4 16.8 0.9 3.3 2.5 "983"
"Watford" "90,301" 98.6 35 12.3 7.5 19.3 68.3 12.3 0.6 14.6 2.4 "4,215"
"Welwyn Hatfield" "110,535" 96.8 36 13.3 6.1 17.1 67.6 15.3 0.8 9 2.4 "853"
"Breckland" "130,491" 97.9 44 7.3 5.7 16.3 62.1 21.6 1 6.9 2.3 "100"
"Broadland" "124,646" 95.2 45 4.9 4.9 15.6 62.1 22.3 1.1 6.7 2.3 "226"
"Great Yarmouth" "97,277" 96.5 43 7 5.7 16.5 62.6 20.9 0.9 7.9 2.3 "560"
"King’s Lynn and West Norfolk" "147,451" 95.6 45 8.7 5.4 15.7 61.4 23 1 8.6 2.3 "103"
"North Norfolk" "101,499" 94.1 51 3 4.3 13.2 58 28.8 1.5 4.7 2.2 "105"
"Norwich" "132,512" 97.1 34 8.3 6.4 15.5 69.9 14.6 0.9 9.7 2.1 "3,396"
"South Norfolk" "124,012" 95.3 45 11.9 5.5 16.7 61.9 21.4 0.9 12.4 2.3 "137"
"Babergh" "87,740" 96.1 45 5.1 5.1 16.9 61.8 21.4 1 7.2 2.3 "148"
"Forest Heath" "59,748" 101.9 37 6.5 6.9 17.5 66.3 16.2 0.7 10.3 2.3 "158"
"Ipswich" "133,384" 99.2 36 13.8 6.9 18.3 66.8 14.9 0.8 14.6 2.3 "3,384"
"Mid Suffolk" "96,731" 98.2 44 11.2 5.4 17.1 62.8 20.1 0.9 12 2.4 "111"
"St Edmundsbury" "111,008" 100.3 41 12.9 6 17.1 63.9 18.9 1 11.7 2.4 "169"
"Suffolk Coastal" "124,298" 95.3 46 7.9 5 16.3 60.5 23.2 1.2 9.3 2.3 "139"
"Waveney" "115,254" 94.6 45 2.4 5.4 16.1 60.1 23.9 1.3 3.8 2.2 "312"
"City of London" "7,375" 124.6 39 -0.3 3.2 8 78 14 0.6 9.6 1.6 "2,540"
"Barking and Dagenham" "185,911" 94.3 32 12.2 10 24.6 65 10.4 0.5 4 2.7 "5,149"
"Barnet" "356,386" 94 35 11.5 7.4 19.6 67.1 13.3 0.8 7 2.6 "4,108"
"Bexley" "231,997" 92.8 39 6 6.5 19.1 64.9 16 0.7 2.9 2.5 "3,830"
"Brent" "311,215" 101.1 32 15.4 7.2 19 70.5 10.5 0.4 10.3 2.8 "7,199"
"Bromley" "309,392" 92.4 40 4.5 6.5 18.3 64.8 16.8 0.9 3.9 2.3 "2,061"
"Camden" "220,338" 95.9 33 8.8 6 15.3 73.8 10.9 0.5 6 2.2 "10,112"
"Croydon" "363,378" 94.2 35 8.4 7.7 20.4 67.4 12.2 0.6 4.3 2.5 "4,201"
"Ealing" "338,449" 99.9 33 10.1 7.5 19.2 70.1 10.7 0.5 5.2 2.7 "6,093"
"Enfield" "312,466" 93.1 34 12.7 7.8 21 66.5 12.4 0.6 8 2.6 "3,866"
"Greenwich" "254,557" 98.4 33 17 8.2 20.5 69.2 10.3 0.5 8.7 2.5 "5,378"
"Hackney" "246,270" 98.2 30 18.9 7.8 19.6 73.3 7.1 0.3 18.2 2.4 "12,928"
"Hammersmith and Fulham" "182,493" 95 32 7.7 6.5 15.4 75.6 9 0.4 6 2.2 "11,129"
"Haringey" "254,926" 98.1 32 15.2 7.1 19.3 72 8.8 0.3 10.8 2.5 "8,613"
"Harrow" "239,056" 97.5 36 13.8 6.7 18.8 67.1 14.1 0.7 6.7 2.8 "4,737"
"Havering" "237,232" 92.8 40 5.6 5.8 17.4 64.8 17.8 0.8 5.7 2.4 "2,112"
"Hillingdon" "273,936" 98.3 35 11.5 7.2 19.5 67.6 12.8 0.6 3.3 2.7 "2,368"
"Hounslow" "253,957" 100.7 33 17.6 7.8 19.1 70.3 10.6 0.4 13 2.7 "4,537"
"Islington" "206,125" 96.8 31 14.9 6 15 76.2 8.8 0.3 14.1 2.1 "13,874"
"Kensington and Chelsea" "158,649" 97.2 36 -2.2 5.8 14.7 73.3 12 0.6 -0.6 2 "13,086"
"Kingston upon Thames" "160,060" 95.3 35 7.4 6.8 17.8 69.5 12.7 0.8 2.6 2.5 "4,296"
"Lambeth" "303,086" 99.2 31 10.9 6.8 17.1 75.2 7.7 0.3 9.3 2.3 "11,305"
"Lewisham" "275,885" 95.8 33 8.5 8 19.6 71 9.5 0.4 7.5 2.4 "7,849"
"Merton" "199,693" 97.4 34 4.5 7.4 18.4 70 11.6 0.6 -0.3 2.5 "5,307"
"Newham" "307,984" 108.6 29 23.5 8.2 21.4 71.9 6.7 0.2 10.3 3 "8,508"
"Redbridge" "278,970" 98 34 15.3 7.8 21.2 66.8 12 0.6 6.6 2.8 "4,945"
"Richmond upon Thames" "186,990" 95.1 38 7.3 7.5 18.7 67.8 13.5 0.8 5 2.3 "3,257"
"Southwark" "288,283" 97.9 32 12.3 7.2 17.5 74.8 7.7 0.3 10.5 2.3 "9,988"
"Sutton" "190,146" 94.6 38 4.8 6.7 18.7 67 14.3 0.7 2.9 2.4 "4,337"
"Tower Hamlets" "254,096" 106.3 29 26.4 7.4 18.7 75.2 6.1 0.2 28.2 2.5 "12,845"
"Waltham Forest" "258,249" 99.8 32 16.3 8.1 20.2 69.9 9.9 0.5 7.6 2.6 "6,655"
"Wandsworth" "306,995" 93.9 32 13 7.1 15.9 75.3 8.8 0.4 9.7 2.3 "8,960"
"Westminster" "219,396" 103.4 34 7.9 5.8 14.1 74.7 11.2 0.5 5.8 2 "10,211"
"Medway UA" "263,925" 98.3 37 5.7 6.5 18.9 67.1 14 0.6 6.2 2.4 "1,374"
"Bracknell Forest UA" "113,205" 98.3 37 3.2 7.1 19.3 68.2 12.5 0.6 6.7 2.4 "1,035"
"West Berkshire UA" "153,822" 98.5 40 6.5 6.5 18.9 65.8 15.4 0.7 9.4 2.4 "218"
"Reading UA" "155,698" 100.3 33 7.6 7.7 18.3 70.3 11.5 0.6 8.4 2.4 "3,854"
"Slough UA" "140,205" 100 32 16.3 9.1 22.7 68.2 9.1 0.4 12.8 2.8 "4,308"
"Windsor and Maidenhead UA" "144,560" 97.4 40 8.3 6.5 18.5 64.8 16.7 0.9 8.1 2.4 "736"
"Wokingham UA" "154,380" 98.1 40 2.7 6.5 19 65.6 15.4 0.7 5.8 2.5 "863"
"Milton Keynes UA" "248,821" 97.9 35 17 8 21 68 11.1 0.5 16 2.5 "806"
"Brighton and Hove UA" "273,369" 99.2 35 9.4 5.5 15.3 71.7 13.1 0.8 6.6 2.2 "3,307"
"Portsmouth UA" "205,056" 101.3 34 9.1 6.6 17.3 69.3 13.4 0.8 8.2 2.3 "5,081"
"Southampton UA" "236,882" 101.7 32 7.9 6.5 16.4 70.6 13 0.7 8 2.3 "4,752"
"Isle of Wight UA" "138,265" 95.2 46 4 4.6 15.1 61 23.8 1.3 5.3 2.2 "364"
"Aylesbury Vale" "174,137" 98.1 40 5 6.5 19 66 15 0.7 6.8 2.5 "193"
"Chiltern" "92,635" 94.7 44 3.9 5.9 19.1 61.5 19.4 0.9 5.6 2.5 "472"
"South Bucks" "66,867" 94.2 43 8 5.9 17.7 62.9 19.4 1 6.1 2.5 "473"
"Wycombe" "171,644" 97.2 39 5.9 6.5 19 65.1 15.8 0.7 6 2.5 "529"
"Eastbourne" "99,412" 91.7 43 10.7 5.4 15.7 61.9 22.4 1.6 9.8 2.2 "2,251"
"Hastings" "90,254" 95.2 41 5.7 6.2 17.3 65.6 17.1 1 8.3 2.2 "3,036"
"Lewes" "97,502" 94.5 45 5.8 5.2 16.2 61 22.7 1.3 5.5 2.3 "334"
"Rother" "90,588" 90.4 50 6 4.4 14.6 57 28.4 2 7.6 2.2 "178"
"Wealden" "148,915" 93.1 46 6.2 5 16.5 60.5 22.9 1.3 8.1 2.3 "179"
"Basingstoke and Deane" "167,799" 98.1 39 9.7 6.8 18.9 66.7 14.4 0.6 11.8 2.4 "265"
"East Hampshire" "115,608" 94.7 44 5.7 5.4 17.3 63.4 19.3 1 7.4 2.4 "225"
