OrganisationID	OrganisationCode	OrganisationName	MetricName	Value	Text,
979019	00KB	Bedford Council (Unitary)	User satisfaction	66.9	66.9 of users are satisfied with their care and support Around average,
979019	00KB	Bedford Council (Unitary)	Users' quality of life	18.9	18.9 out of 24 Average,
979020	00AD	London Borough of Bexley	Carer satisfaction	52.1%	52.1% of carers are satisfied with their care and support Above average,
979020	00AD	London Borough of Bexley	Carer's quality of life	8	8 out of 12 Around average,
979020	00AD	London Borough of Bexley	The proportion of people aged 65 and over who use social care services who feel safe	54.70%	Below average - 54.70%% of users of social care services felt safe,
979020	00AD	London Borough of Bexley	User satisfaction	60.4	60.4 of users are satisfied with their care and support Around average,
979020	00AD	London Borough of Bexley	Users' quality of life	18.4	18.4 out of 24 Below average,
979021	00CN	Birmingham City Council	Carer satisfaction	30.7%	30.7% of carers are satisfied with their care and support Below average,
979021	00CN	Birmingham City Council	Carer's quality of life	7.7	7.7 out of 12 Below average,
979021	00CN	Birmingham City Council	Permanent admissions to care homes: younger adults	20	20 admissions per 100,000 younger adults In the highest 20%
979021	00CN	Birmingham City Council	The proportion of people aged 65 and over who use social care services who feel safe	69.20%	Around average - 69.20%% of users of social care services felt safe,
979021	00CN	Birmingham City Council	User satisfaction	62.4	62.4 of users are satisfied with their care and support Around average,
979021	00CN	Birmingham City Council	Users' quality of life	18.7	18.7 out of 24 Average,
979023	00EX	Blackburn with Darwen Borough Council	Carer satisfaction	51.4%	51.4% of carers are satisfied with their care and support Above average,
979023	00EX	Blackburn with Darwen Borough Council	Carer's quality of life	8.5	8.5 out of 12 Around average,
979023	00EX	Blackburn with Darwen Borough Council	Permanent admissions to care homes: younger adults	23.7	23.7 admissions per 100,000 younger adults In the highest 20%
979023	00EX	Blackburn with Darwen Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	81.80%	Above average - 81.80%% of users of social care services felt safe,
979023	00EX	Blackburn with Darwen Borough Council	User satisfaction	72.2	72.2 of users are satisfied with their care and support Above average,
979023	00EX	Blackburn with Darwen Borough Council	Users' quality of life	20.5	20.5 out of 24 Above average,
979024	00EY	Blackpool Borough Council	Carer satisfaction	42.7%	42.7% of carers are satisfied with their care and support Around average,
979024	00EY	Blackpool Borough Council	Carer's quality of life	7.8	7.8 out of 12 Around average,
979024	00EY	Blackpool Borough Council	Permanent admissions to care homes: younger adults	22.6	22.6 admissions per 100,000 younger adults In the highest 20%
979024	00EY	Blackpool Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	69.60%	Around average - 69.60%% of users of social care services felt safe,
979024	00EY	Blackpool Borough Council	User satisfaction	65.7	65.7 of users are satisfied with their care and support Around average,
979024	00EY	Blackpool Borough Council	Users' quality of life	19	19 out of 24 Average,
979026	00BL	Bolton Metropolitan Borough Council	Carer satisfaction	44.9%	44.9% of carers are satisfied with their care and support Around average,
979026	00BL	Bolton Metropolitan Borough Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979026	00BL	Bolton Metropolitan Borough Council	Permanent admissions to care homes: younger adults	13.1	13.1 admissions per 100,000 younger adults In the middle 60%
979026	00BL	Bolton Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	60.60%	Below average - 60.60%% of users of social care services felt safe,
979026	00BL	Bolton Metropolitan Borough Council	User satisfaction	66	66 of users are satisfied with their care and support Around average,
979026	00BL	Bolton Metropolitan Borough Council	Users' quality of life	18.6	18.6 out of 24 Average,
979028	00HN	Bournemouth Borough Council	Carer satisfaction	46.2%	46.2% of carers are satisfied with their care and support Around average,
979028	00HN	Bournemouth Borough Council	Carer's quality of life	7.7	7.7 out of 12 Below average,
979028	00HN	Bournemouth Borough Council	Permanent admissions to care homes: younger adults	18.1	18.1 admissions per 100,000 younger adults In the highest 20%
979028	00HN	Bournemouth Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	70.30%	Above average - 70.30%% of users of social care services felt safe,
979028	00HN	Bournemouth Borough Council	User satisfaction	66.5	66.5 of users are satisfied with their care and support Around average,
979028	00HN	Bournemouth Borough Council	Users' quality of life	19.2	19.2 out of 24 Average,
979029	00MA	Bracknell Forest Council	Carer satisfaction	50.4%	50.4% of carers are satisfied with their care and support Above average,
979029	00MA	Bracknell Forest Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979029	00MA	Bracknell Forest Council	The proportion of people aged 65 and over who use social care services who feel safe	63.40%	Around average - 63.40%% of users of social care services felt safe,
979029	00MA	Bracknell Forest Council	User satisfaction	64.8	64.8 of users are satisfied with their care and support Around average,
979029	00MA	Bracknell Forest Council	Users' quality of life	18.8	18.8 out of 24 Average,
979030	00CX	Bradford Metropolitan District Council	Carer satisfaction	34.7%	34.7% of carers are satisfied with their care and support Below average,
979030	00CX	Bradford Metropolitan District Council	Carer's quality of life	8.4	8.4 out of 12 Above average,
979030	00CX	Bradford Metropolitan District Council	Permanent admissions to care homes: younger adults	4.1	4.1 admissions per 100,000 younger adults In the lowest 20%
979030	00CX	Bradford Metropolitan District Council	The proportion of people aged 65 and over who use social care services who feel safe	71.50%	Above average - 71.50%% of users of social care services felt safe,
979030	00CX	Bradford Metropolitan District Council	User satisfaction	61.9	61.9 of users are satisfied with their care and support Around average,
979030	00CX	Bradford Metropolitan District Council	Users' quality of life	19.1	19.1 out of 24 Average,
979033	00AE	London Borough of Brent	Carer satisfaction	25.9%	25.9% of carers are satisfied with their care and support Below average,
979033	00AE	London Borough of Brent	Carer's quality of life	6.8	6.8 out of 12 Below average,
979033	00AE	London Borough of Brent	Permanent admissions to care homes: younger adults	17.1	17.1 admissions per 100,000 younger adults In the middle 60%
979033	00AE	London Borough of Brent	The proportion of people aged 65 and over who use social care services who feel safe	56.50%	Below average - 56.50%% of users of social care services felt safe,
979033	00AE	London Borough of Brent	User satisfaction	56.6	56.6 of users are satisfied with their care and support Below average,
979033	00AE	London Borough of Brent	Users' quality of life	17.8	17.8 out of 24 Below average,
979035	00ML	Brighton and Hove City Council	Carer satisfaction	37.0%	37.0% of carers are satisfied with their care and support Below average,
979035	00ML	Brighton and Hove City Council	Carer's quality of life	7.8	7.8 out of 12 Around average,
979035	00ML	Brighton and Hove City Council	Permanent admissions to care homes: younger adults	10.5	10.5 admissions per 100,000 younger adults In the middle 60%
979035	00ML	Brighton and Hove City Council	The proportion of people aged 65 and over who use social care services who feel safe	75.50%	Above average - 75.50%% of users of social care services felt safe,
979035	00ML	Brighton and Hove City Council	User satisfaction	68.2	68.2 of users are satisfied with their care and support Around average,
979035	00ML	Brighton and Hove City Council	Users' quality of life	19.7	19.7 out of 24 Above average,
979037	00AF	London Borough of Bromley	Carer satisfaction	36.4%	36.4% of carers are satisfied with their care and support Around average,
979037	00AF	London Borough of Bromley	Carer's quality of life	7.9	7.9 out of 12 Around average,
979037	00AF	London Borough of Bromley	Permanent admissions to care homes: younger adults	27.1	27.1 admissions per 100,000 younger adults In the highest 20%
979037	00AF	London Borough of Bromley	The proportion of people aged 65 and over who use social care services who feel safe	66.50%	Around average - 66.50%% of users of social care services felt safe,
979037	00AF	London Borough of Bromley	User satisfaction	61.7	61.7 of users are satisfied with their care and support Around average,
979037	00AF	London Borough of Bromley	Users' quality of life	18.4	18.4 out of 24 Below average,
979041	11	Buckinghamshire County Council	Carer satisfaction	32.4%	32.4% of carers are satisfied with their care and support Below average,
979041	11	Buckinghamshire County Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979041	11	Buckinghamshire County Council	Permanent admissions to care homes: younger adults	16.3	16.3 admissions per 100,000 younger adults In the middle 60%
979041	11	Buckinghamshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	61.60%	Around average - 61.60%% of users of social care services felt safe,
979041	11	Buckinghamshire County Council	User satisfaction	56.2	56.2 of users are satisfied with their care and support Below average,
979041	11	Buckinghamshire County Council	Users' quality of life	18.2	18.2 out of 24 Below average,
979043	00CY	Calderdale Metropolitan Borough Council	Carer satisfaction	41.7%	41.7% of carers are satisfied with their care and support Around average,
979043	00CY	Calderdale Metropolitan Borough Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979043	00CY	Calderdale Metropolitan Borough Council	Permanent admissions to care homes: younger adults	4.8	4.8 admissions per 100,000 younger adults In the lowest 20%
979043	00CY	Calderdale Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	66.90%	Around average - 66.90%% of users of social care services felt safe,
979043	00CY	Calderdale Metropolitan Borough Council	User satisfaction	61.1	61.1 of users are satisfied with their care and support Around average,
979043	00CY	Calderdale Metropolitan Borough Council	Users' quality of life	18.9	18.9 out of 24 Average,
979045	12	Cambridgeshire County Council	Carer satisfaction	39.2%	39.2% of carers are satisfied with their care and support Around average,
979045	12	Cambridgeshire County Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979045	12	Cambridgeshire County Council	Permanent admissions to care homes: younger adults	14.5	14.5 admissions per 100,000 younger adults In the middle 60%
979045	12	Cambridgeshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	67.80%	Around average - 67.80%% of users of social care services felt safe,
979045	12	Cambridgeshire County Council	User satisfaction	65.4	65.4 of users are satisfied with their care and support Around average,
979045	12	Cambridgeshire County Council	Users' quality of life	19.2	19.2 out of 24 Average,
979046	00AG	London Borough of Camden	Carer satisfaction	41.3%	41.3% of carers are satisfied with their care and support Around average,
979046	00AG	London Borough of Camden	Carer's quality of life	8.1	8.1 out of 12 Around average,
979046	00AG	London Borough of Camden	Permanent admissions to care homes: younger adults	11.8	11.8 admissions per 100,000 younger adults In the middle 60%
979046	00AG	London Borough of Camden	The proportion of people aged 65 and over who use social care services who feel safe	57.50%	Below average - 57.50%% of users of social care services felt safe,
979046	00AG	London Borough of Camden	User satisfaction	59.1	59.1 of users are satisfied with their care and support Below average,
979046	00AG	London Borough of Camden	Users' quality of life	18.3	18.3 out of 24 Below average,
979055	00EQ	Cheshire East Council (Unitary)	Carer satisfaction	49.0%	49.0% of carers are satisfied with their care and support Above average,
979055	00EQ	Cheshire East Council (Unitary)	Carer's quality of life	8.6	8.6 out of 12 Above average,
979055	00EQ	Cheshire East Council (Unitary)	Permanent admissions to care homes: younger adults	17.7	17.7 admissions per 100,000 younger adults In the highest 20%
979055	00EQ	Cheshire East Council (Unitary)	The proportion of people aged 65 and over who use social care services who feel safe	69.20%	Around average - 69.20%% of users of social care services felt safe,
979055	00EQ	Cheshire East Council (Unitary)	User satisfaction	62.4	62.4 of users are satisfied with their care and support Around average,
979055	00EQ	Cheshire East Council (Unitary)	Users' quality of life	19.1	19.1 out of 24 Average,
979064	00HE	Cornwall Council (Unitary)	Carer satisfaction	49.0%	49.0% of carers are satisfied with their care and support Above average,
979064	00HE	Cornwall Council (Unitary)	Carer's quality of life	8	8 out of 12 Around average,
979064	00HE	Cornwall Council (Unitary)	Permanent admissions to care homes: younger adults	17.3	17.3 admissions per 100,000 younger adults In the highest 20%
979064	00HE	Cornwall Council (Unitary)	The proportion of people aged 65 and over who use social care services who feel safe	66.60%	Around average - 66.60%% of users of social care services felt safe,
979064	00HE	Cornwall Council (Unitary)	User satisfaction	68.5	68.5 of users are satisfied with their care and support Around average,
979064	00HE	Cornwall Council (Unitary)	Users' quality of life	19.1	19.1 out of 24 Average,
979067	00CQ	Coventry City Council	Carer satisfaction	40.6%	40.6% of carers are satisfied with their care and support Around average,
979067	00CQ	Coventry City Council	Carer's quality of life	7.7	7.7 out of 12 Below average,
979067	00CQ	Coventry City Council	Permanent admissions to care homes: younger adults	11	11 admissions per 100,000 younger adults In the middle 60%
979067	00CQ	Coventry City Council	The proportion of people aged 65 and over who use social care services who feel safe	69.20%	Around average - 69.20%% of users of social care services felt safe,
979067	00CQ	Coventry City Council	User satisfaction	64.7	64.7 of users are satisfied with their care and support Around average,
979067	00CQ	Coventry City Council	Users' quality of life	19.2	19.2 out of 24 Average,
979070	00AH	London Borough of Croydon	Carer satisfaction	29.2%	29.2% of carers are satisfied with their care and support Below average,
979070	00AH	London Borough of Croydon	Carer's quality of life	7.7	7.7 out of 12 Below average,
979070	00AH	London Borough of Croydon	Permanent admissions to care homes: younger adults	7.7	7.7 admissions per 100,000 younger adults In the lowest 20%
979070	00AH	London Borough of Croydon	The proportion of people aged 65 and over who use social care services who feel safe	64%	Around average - 64%% of users of social care services felt safe,
979070	00AH	London Borough of Croydon	User satisfaction	57.9	57.9 of users are satisfied with their care and support Below average,
979070	00AH	London Borough of Croydon	Users' quality of life	18.7	18.7 out of 24 Average,
979071	16	Cumbria County Council	Carer satisfaction	50.6%	50.6% of carers are satisfied with their care and support Above average,
979071	16	Cumbria County Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979071	16	Cumbria County Council	Permanent admissions to care homes: younger adults	12.6	12.6 admissions per 100,000 younger adults In the middle 60%
979071	16	Cumbria County Council	The proportion of people aged 65 and over who use social care services who feel safe	68.80%	Around average - 68.80%% of users of social care services felt safe,
979071	16	Cumbria County Council	User satisfaction	67.4	67.4 of users are satisfied with their care and support Around average,
979071	16	Cumbria County Council	Users' quality of life	19.6	19.6 out of 24 Above average,
979073	00EH	Darlington Borough Council	Carer satisfaction	52.2%	52.2% of carers are satisfied with their care and support Above average,
979073	00EH	Darlington Borough Council	Carer's quality of life	8.4	8.4 out of 12 Around average,
979073	00EH	Darlington Borough Council	Permanent admissions to care homes: younger adults	19.1	19.1 admissions per 100,000 younger adults In the highest 20%
979073	00EH	Darlington Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	69.50%	Around average - 69.50%% of users of social care services felt safe,
979073	00EH	Darlington Borough Council	User satisfaction	62.4	62.4 of users are satisfied with their care and support Around average,
979073	00EH	Darlington Borough Council	Users' quality of life	19	19 out of 24 Average,
979076	00FK	Derby City Council	Carer satisfaction	38.6%	38.6% of carers are satisfied with their care and support Around average,
979076	00FK	Derby City Council	Carer's quality of life	7.9	7.9 out of 12 Around average,
979076	00FK	Derby City Council	The proportion of people aged 65 and over who use social care services who feel safe	70.60%	Above average - 70.60%% of users of social care services felt safe,
979076	00FK	Derby City Council	User satisfaction	65.2	65.2 of users are satisfied with their care and support Around average,
979076	00FK	Derby City Council	Users' quality of life	19.5	19.5 out of 24 Above average,
979077	17	Derbyshire County Council	Carer satisfaction	48.0%	48.0% of carers are satisfied with their care and support Above average,
979077	17	Derbyshire County Council	Carer's quality of life	7.9	7.9 out of 12 Around average,
979077	17	Derbyshire County Council	Permanent admissions to care homes: younger adults	21.4	21.4 admissions per 100,000 younger adults In the highest 20%
979077	17	Derbyshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	67.20%	Around average - 67.20%% of users of social care services felt safe,
979077	17	Derbyshire County Council	User satisfaction	68	68 of users are satisfied with their care and support Around average,
979077	17	Derbyshire County Council	Users' quality of life	18.9	18.9 out of 24 Average,
979079	18	Devon County Council	Carer satisfaction	48.6%	48.6% of carers are satisfied with their care and support Above average,
979079	18	Devon County Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979079	18	Devon County Council	Permanent admissions to care homes: younger adults	20.5	20.5 admissions per 100,000 younger adults In the highest 20%
979079	18	Devon County Council	The proportion of people aged 65 and over who use social care services who feel safe	65.90%	Around average - 65.90%% of users of social care services felt safe,
979079	18	Devon County Council	User satisfaction	66.7	66.7 of users are satisfied with their care and support Around average,
979079	18	Devon County Council	Users' quality of life	19.1	19.1 out of 24 Average,
979080	00CE	Doncaster Metropolitan Borough Council	Carer satisfaction	47.1%	47.1% of carers are satisfied with their care and support Above average,
979080	00CE	Doncaster Metropolitan Borough Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979080	00CE	Doncaster Metropolitan Borough Council	Permanent admissions to care homes: younger adults	12.5	12.5 admissions per 100,000 younger adults In the middle 60%
979080	00CE	Doncaster Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	59.80%	Below average - 59.80%% of users of social care services felt safe,
979080	00CE	Doncaster Metropolitan Borough Council	User satisfaction	56.8	56.8 of users are satisfied with their care and support Below average,
979080	00CE	Doncaster Metropolitan Borough Council	Users' quality of life	18.5	18.5 out of 24 Below average,
979081	19	Dorset County Council	Carer satisfaction	43.7%	43.7% of carers are satisfied with their care and support Around average,
979081	19	Dorset County Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979081	19	Dorset County Council	Permanent admissions to care homes: younger adults	14.1	14.1 admissions per 100,000 younger adults In the middle 60%
979081	19	Dorset County Council	The proportion of people aged 65 and over who use social care services who feel safe	59.40%	Below average - 59.40%% of users of social care services felt safe,
979081	19	Dorset County Council	User satisfaction	63.6	63.6 of users are satisfied with their care and support Around average,
979081	19	Dorset County Council	Users' quality of life	18.5	18.5 out of 24 Below average,
979083	00EJ	Durham County Council	Carer satisfaction	48.1%	48.1% of carers are satisfied with their care and support Above average,
979083	00EJ	Durham County Council	Carer's quality of life	8.7	8.7 out of 12 Above average,
979083	00EJ	Durham County Council	Permanent admissions to care homes: younger adults	15.2	15.2 admissions per 100,000 younger adults In the middle 60%
979083	00EJ	Durham County Council	The proportion of people aged 65 and over who use social care services who feel safe	67.40%	Around average - 67.40%% of users of social care services felt safe,
979083	00EJ	Durham County Council	User satisfaction	67.1	67.1 of users are satisfied with their care and support Around average,
979083	00EJ	Durham County Council	Users' quality of life	19.5	19.5 out of 24 Above average,
979091	00FB	East Riding of Yorkshire Council	Carer satisfaction	51.7%	51.7% of carers are satisfied with their care and support Above average,
979091	00FB	East Riding of Yorkshire Council	Carer's quality of life	8.4	8.4 out of 12 Above average,
979091	00FB	East Riding of Yorkshire Council	Permanent admissions to care homes: younger adults	13.4	13.4 admissions per 100,000 younger adults In the middle 60%
979091	00FB	East Riding of Yorkshire Council	The proportion of people aged 65 and over who use social care services who feel safe	72.40%	Above average - 72.40%% of users of social care services felt safe,
979091	00FB	East Riding of Yorkshire Council	User satisfaction	71.3	71.3 of users are satisfied with their care and support Above average,
979091	00FB	East Riding of Yorkshire Council	Users' quality of life	19.4	19.4 out of 24 Above average,
979093	21	East Sussex County Council	Carer satisfaction	45.3%	45.3% of carers are satisfied with their care and support Around average,
979093	21	East Sussex County Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979093	21	East Sussex County Council	Permanent admissions to care homes: younger adults	24	24 admissions per 100,000 younger adults In the highest 20%
979093	21	East Sussex County Council	The proportion of people aged 65 and over who use social care services who feel safe	63%	Around average - 63%% of users of social care services felt safe,
979093	21	East Sussex County Council	User satisfaction	67.5	67.5 of users are satisfied with their care and support Around average,
979093	21	East Sussex County Council	Users' quality of life	19.3	19.3 out of 24 Average,
979097	00AK	London Borough of Enfield	Carer satisfaction	41.7%	41.7% of carers are satisfied with their care and support Around average,
979097	00AK	London Borough of Enfield	Carer's quality of life	8.2	8.2 out of 12 Around average,
979097	00AK	London Borough of Enfield	Permanent admissions to care homes: younger adults	3.5	3.5 admissions per 100,000 younger adults In the lowest 20%
979097	00AK	London Borough of Enfield	The proportion of people aged 65 and over who use social care services who feel safe	62.60%	Around average - 62.60%% of users of social care services felt safe,
979097	00AK	London Borough of Enfield	User satisfaction	59.9	59.9 of users are satisfied with their care and support Below average,
979097	00AK	London Borough of Enfield	Users' quality of life	18.4	18.4 out of 24 Below average,
979101	22	Essex County Council	Carer satisfaction	36.1%	36.1% of carers are satisfied with their care and support Below average,
979101	22	Essex County Council	Carer's quality of life	8	8 out of 12 Around average,
979101	22	Essex County Council	Permanent admissions to care homes: younger adults	9.3	9.3 admissions per 100,000 younger adults In the middle 60%
979101	22	Essex County Council	The proportion of people aged 65 and over who use social care services who feel safe	62.90%	Around average - 62.90%% of users of social care services felt safe,
979101	22	Essex County Council	User satisfaction	59.2	59.2 of users are satisfied with their care and support Below average,
979101	22	Essex County Council	Users' quality of life	18.4	18.4 out of 24 Below average,
979110	23	Gloucestershire County Council	Carer satisfaction	46.1%	46.1% of carers are satisfied with their care and support Around average,
979110	23	Gloucestershire County Council	Carer's quality of life	7.7	7.7 out of 12 Below average,
979110	23	Gloucestershire County Council	Permanent admissions to care homes: younger adults	17.1	17.1 admissions per 100,000 younger adults In the middle 60%
979110	23	Gloucestershire County Council	The proportion of people aged 65 and over who use social care services who feel safe	60.70%	Below average - 60.70%% of users of social care services felt safe,
979110	23	Gloucestershire County Council	User satisfaction	67.1	67.1 of users are satisfied with their care and support Around average,
979110	23	Gloucestershire County Council	Users' quality of life	19.5	19.5 out of 24 Above average,
979114	00AL	Royal Borough of Greenwich	Carer satisfaction	36.9%	36.9% of carers are satisfied with their care and support Below average,
979114	00AL	Royal Borough of Greenwich	Carer's quality of life	7.7	7.7 out of 12 Below average,
979114	00AL	Royal Borough of Greenwich	Permanent admissions to care homes: younger adults	5.2	5.2 admissions per 100,000 younger adults In the lowest 20%
979114	00AL	Royal Borough of Greenwich	The proportion of people aged 65 and over who use social care services who feel safe	60.40%	Below average - 60.40%% of users of social care services felt safe,
979114	00AL	Royal Borough of Greenwich	User satisfaction	64	64 of users are satisfied with their care and support Around average,
979114	00AL	Royal Borough of Greenwich	Users' quality of life	18.6	18.6 out of 24 Average,
979116	00AM	London Borough of Hackney	Carer satisfaction	29.9%	29.9% of carers are satisfied with their care and support Below average,
979116	00AM	London Borough of Hackney	Carer's quality of life	7.1	7.1 out of 12 Below average,
979116	00AM	London Borough of Hackney	Permanent admissions to care homes: younger adults	6.7	6.7 admissions per 100,000 younger adults In the lowest 20%
979116	00AM	London Borough of Hackney	The proportion of people aged 65 and over who use social care services who feel safe	61.50%	Around average - 61.50%% of users of social care services felt safe,
979116	00AM	London Borough of Hackney	User satisfaction	57.9	57.9 of users are satisfied with their care and support Below average,
979116	00AM	London Borough of Hackney	Users' quality of life	17.8	17.8 out of 24 Below average,
979117	00ET	Halton Borough Council	Carer satisfaction	46.4%	46.4% of carers are satisfied with their care and support Around average,
979117	00ET	Halton Borough Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979117	00ET	Halton Borough Council	Permanent admissions to care homes: younger adults	9	9 admissions per 100,000 younger adults In the lowest 20%
979117	00ET	Halton Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	67.80%	Around average - 67.80%% of users of social care services felt safe,
979117	00ET	Halton Borough Council	User satisfaction	68.4	68.4 of users are satisfied with their care and support Around average,
979117	00ET	Halton Borough Council	Users' quality of life	19.4	19.4 out of 24 Above average,
979118	00AN	London Borough of Hammersmith & Fulham	Carer satisfaction	33.7%	33.7% of carers are satisfied with their care and support Around average,
979118	00AN	London Borough of Hammersmith & Fulham	Carer's quality of life	7.2	7.2 out of 12 Below average,
979118	00AN	London Borough of Hammersmith & Fulham	Permanent admissions to care homes: younger adults	31.3	31.3 admissions per 100,000 younger adults In the highest 20%
979118	00AN	London Borough of Hammersmith & Fulham	The proportion of people aged 65 and over who use social care services who feel safe	59.70%	Below average - 59.70%% of users of social care services felt safe,
979118	00AN	London Borough of Hammersmith & Fulham	User satisfaction	58.7	58.7 of users are satisfied with their care and support Below average,
979118	00AN	London Borough of Hammersmith & Fulham	Users' quality of life	18.5	18.5 out of 24 Below average,
979119	24	Hampshire County Council	Carer satisfaction	39.4%	39.4% of carers are satisfied with their care and support Around average,
979119	24	Hampshire County Council	Carer's quality of life	7.2	7.2 out of 12 Below average,
979119	24	Hampshire County Council	Permanent admissions to care homes: younger adults	17.6	17.6 admissions per 100,000 younger adults In the highest 20%
979119	24	Hampshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	69%	Around average - 69%% of users of social care services felt safe,
979119	24	Hampshire County Council	User satisfaction	66.9	66.9 of users are satisfied with their care and support Around average,
979119	24	Hampshire County Council	Users' quality of life	19.3	19.3 out of 24 Above average,
979121	00AP	London Borough of Haringey	Carer satisfaction	39.1%	39.1% of carers are satisfied with their care and support Around average,
979121	00AP	London Borough of Haringey	Carer's quality of life	7.1	7.1 out of 12 Below average,
979121	00AP	London Borough of Haringey	Permanent admissions to care homes: younger adults	6.6	6.6 admissions per 100,000 younger adults In the lowest 20%
979121	00AP	London Borough of Haringey	The proportion of people aged 65 and over who use social care services who feel safe	63.90%	Around average - 63.90%% of users of social care services felt safe,
979121	00AP	London Borough of Haringey	User satisfaction	55.7	55.7 of users are satisfied with their care and support Below average,
979121	00AP	London Borough of Haringey	Users' quality of life	18.3	18.3 out of 24 Below average,
979124	00AQ	London Borough of Harrow	Carer satisfaction	32.6%	32.6% of carers are satisfied with their care and support Below average,
979124	00AQ	London Borough of Harrow	Carer's quality of life	8.5	8.5 out of 12 Above average,
979124	00AQ	London Borough of Harrow	Permanent admissions to care homes: younger adults	9.2	9.2 admissions per 100,000 younger adults In the lowest 20%
